"","CD8_DLN_3","CD8_DLN_1","CD8_DLN_2","CD8_Tumor_3","CD8_Tumor_1","CD8_Tumor_2"
"Ccr6",0.83,0.84,1.05,-0.75,-0.93,-1.04
"Il1rl1",0.1,-1.07,-1.16,1.52,0.35,0.25
"Robo3",-0.48,-1.01,-0.84,1.62,0.63,0.08
"Galr3",-0.72,-0.47,-0.89,1.85,0.25,-0.03
"Npffr1",-0.8,-0.57,-0.8,1.74,-0.17,0.6
"Sorcs3",-0.82,-0.58,-0.82,1.65,-0.18,0.76
"Fzd9",-0.17,-1.51,-0.71,0.34,1.08,0.96
"Cd40",-0.25,-1.34,-0.84,0.28,0.95,1.2
"Rrbp1",-0.08,-1.13,-1.07,0.02,1.05,1.21
"Ltb4r1",-0.12,-1.19,-1.13,0.37,1.1,0.97
"Il10ra",0.03,-1.28,-1.11,0.35,1.04,0.97
"Itga3",-0.75,-0.84,-0.94,0.2,1.37,0.96
"Ptger2",-0.7,-0.89,-0.94,0.32,1.49,0.72
"Ptprb",-0.92,-0.81,-0.92,0.43,1.2,1.02
"Sfrp4",-0.91,-0.79,-0.91,0.33,1.19,1.09
"Gpr39",-0.86,-0.94,-0.86,0.51,1.28,0.86
"Itga7",-0.92,-0.8,-0.88,0.37,1.35,0.89
"Ccr3",-0.62,-0.84,-1.17,0.5,1.16,0.98
"Cd44",-0.63,-1.03,-0.93,0.32,1.17,1.09
"Ephb2",-0.56,-1.04,-0.94,0.28,1.29,0.98
"Gfra4",-0.52,-0.79,-1.1,0.02,1.3,1.09
"Tlr4",-0.31,-1.21,-0.79,-0.06,1.18,1.19
"Tigit",-0.56,-1.05,-0.77,-0.06,1.34,1.09
"Icos",-0.05,-1.36,-1,1.06,0.46,0.9
"Selenos",-0.17,-1.02,-1.29,1.2,0.58,0.69
"Klrc1",-0.36,-1.16,-1.08,1.13,0.78,0.69
"Lrp8",-0.16,-1.2,-1.15,1.13,0.66,0.72
"Lgr4",-0.42,-1.08,-1.14,0.91,0.88,0.85
"Ccr5",-0.17,-1.13,-1.23,0.7,0.91,0.93
"Cd274",-0.37,-1.15,-1.06,0.52,1,1.07
"Selp",-0.19,-1.31,-1.01,0.59,1.12,0.8
"Cysltr1",-0.15,-1.36,-0.98,0.6,0.9,1
"Il12rb2",0.24,-1.29,-1.23,0.59,0.83,0.86
"Ptch2",0.01,-1.02,-1.4,0.8,1.01,0.6
"Tfrc",-0.1,-1.08,-1.31,0.99,0.84,0.67
"Gucy2c",-0.45,-0.31,-1.66,0.81,0.77,0.84
"Gnat2",-0.26,-0.62,-1.53,1.18,0.46,0.77
"Klrg1",-0.3,-0.92,-1.26,1.22,0.33,0.93
"Amot",-1.32,-0.53,-0.76,0.58,1.01,1.02
"Fgfrl1",-1.37,-0.58,-0.65,0.64,0.94,1.04
"Plxnb1",-1.39,-0.51,-0.67,0.54,0.98,1.05
"Esr1",-1.39,-0.54,-0.64,0.56,0.89,1.12
"Eng",-1.49,-0.45,-0.55,0.47,1.09,0.93
"Dab2",-1.45,-0.55,-0.51,0.46,1.03,1.03
"Itgam",-1.45,-0.55,-0.55,0.54,1.02,0.99
"Robo1",-1.45,-0.39,-0.69,0.54,1,0.99
"Ptprk",-1.51,-0.44,-0.58,0.7,0.98,0.85
"Sdc2",-1.5,-0.46,-0.56,0.56,0.99,0.97
"Fgfr1",-1.5,-0.46,-0.57,0.62,1,0.91
"Ptprm",-1.26,-0.87,-0.5,0.61,1.02,0.99
"Msr1",-1.26,-0.89,-0.46,0.55,1.03,1.02
"Fzd4",-1.37,-0.77,-0.44,0.58,1.08,0.92
"Celsr3",-1.32,-0.86,-0.38,0.51,1.11,0.95
"Cntfr",-1.45,-0.62,-0.5,0.72,0.97,0.89
"Met",-1.42,-0.76,-0.4,0.75,0.91,0.92
"Fat1",-1.39,-0.72,-0.5,0.83,0.88,0.91
"Ptprg",-1.34,-0.72,-0.56,0.67,1.04,0.91
"Ltbr",-1.33,-0.73,-0.56,0.64,0.99,0.99
"Flt1",-1.3,-0.73,-0.59,0.57,1.08,0.97
"Scarf1",-1.33,-0.75,-0.51,0.53,1.08,0.98
"Unc5c",-1.44,-0.66,-0.43,0.53,0.98,1.02
"Lsr",-1.41,-0.65,-0.53,0.61,0.92,1.06
"Cd200r1",-1.42,-0.63,-0.54,0.66,0.92,1.01
"Clec7a",-1.22,-0.76,-0.67,0.61,1.04,1.01
"Lrp1",-1.2,-0.74,-0.71,0.57,1.05,1.04
"Itgb5",-1.22,-0.77,-0.66,0.55,1.07,1.03
"Egfr",-1.16,-0.84,-0.69,0.71,0.98,1
"Bmpr2",-1.2,-0.83,-0.64,0.69,1.07,0.92
"Ccr1",-1.07,-0.92,-0.65,0.46,1.13,1.04
"Ephb4",-1.06,-0.94,-0.68,0.56,1.11,1
"C3ar1",-1.09,-0.9,-0.7,0.59,1.02,1.06
"Ptafr",-1.1,-0.84,-0.73,0.55,1.06,1.05
"Gpc4",-1.05,-0.86,-0.76,0.56,1.13,0.99
"Csf2rb",-1,-0.92,-0.78,0.6,1.1,0.99
"Robo4",-0.91,-0.87,-0.91,0.61,1.11,0.98
"Nectin3",-0.93,-0.86,-0.93,0.67,1.1,0.95
"Vdr",-1.02,-0.79,-0.88,0.63,1.1,0.97
"Il1r1",-0.97,-0.81,-0.93,0.62,1.1,0.99
"Cubn",-1.02,-0.75,-0.91,0.52,1.04,1.11
"Mrc2",-1.07,-0.72,-0.86,0.47,1.13,1.05
"Ptprs",-1.13,-0.67,-0.83,0.46,1.07,1.1
"Tie1",-1.08,-0.79,-0.79,0.52,1.16,0.98
"Itga5",-1.08,-0.78,-0.82,0.57,1.11,1
"Pcdh17",-1.1,-0.65,-0.87,0.43,1.21,0.98
"Cd34",-1.13,-0.66,-0.87,0.56,1.12,0.98
"Plxna2",-1.19,-0.64,-0.81,0.55,1.15,0.94
"Antxr1",-1.37,-0.69,-0.58,0.91,0.88,0.85
"Ly96",-1.32,-0.74,-0.59,0.95,0.85,0.86
"Slc40a1",-1.27,-0.78,-0.61,0.93,1.01,0.72
"Npr1",-1.3,-0.74,-0.61,0.87,1,0.78
"F3",-1.23,-0.79,-0.66,0.95,0.88,0.86
"Fzd3",-1.28,-0.83,-0.55,1.01,0.89,0.75
"Pcdh7",-1.22,-0.93,-0.52,0.87,0.93,0.87
"Ncam1",-1.22,-0.92,-0.53,0.97,0.8,0.91
"Pld2",-1.34,-0.75,-0.54,0.79,0.81,1.03
"Ddr2",-1.32,-0.87,-0.44,0.83,0.88,0.92
"Rgma",-1.29,-0.89,-0.46,0.84,0.86,0.94
"Smo",-1.05,-0.9,-0.77,0.71,1.01,1
"Pdgfrb",-1.12,-0.79,-0.78,0.67,1.05,0.97
"Mylk",-1.13,-0.82,-0.74,0.7,1.04,0.96
"Adora2b",-1.04,-0.96,-0.71,0.79,1.04,0.88
"Thbd",-1.06,-0.88,-0.78,0.81,1.07,0.84
"Il17rc",-1.14,-0.84,-0.73,0.88,0.91,0.93
"Nrp2",-1.14,-0.81,-0.76,0.87,0.91,0.93
"Boc",-1.12,-0.81,-0.8,0.8,0.95,0.97
"Axl",-1.13,-0.82,-0.76,0.76,0.95,0.99
"Mertk",-1,-0.94,-0.79,0.82,0.93,0.97
"Osmr",-1.06,-0.83,-0.84,0.89,0.98,0.85
"Erbb3",-1.14,-0.75,-0.79,0.72,1.17,0.79
"Adora2a",-1.22,-0.69,-0.75,0.66,1.11,0.89
"Vldlr",-1.17,-0.7,-0.8,0.66,0.91,1.11
"Ghr",-1.18,-0.61,-0.9,0.79,0.99,0.9
"Fzd2",-1.16,-0.71,-0.83,0.78,1.02,0.9
"Fzd7",-1.23,-0.65,-0.8,0.79,0.96,0.94
"Lrp2",-0.79,-1.26,-0.58,0.64,1.15,0.84
"Nlgn1",-1,-1.14,-0.42,0.53,1.3,0.73
"Gabra3",-0.82,-0.97,-0.82,0.32,1.13,1.15
"P2rx4",-0.85,-0.95,-0.8,0.31,1.03,1.26
"Ramp2",-0.82,-1.07,-0.64,0.21,1.26,1.06
"Ackr3",-0.85,-1.05,-0.58,0.09,1.19,1.2
"Frzb",-1.02,-1.19,-0.29,0.34,1.05,1.11
"Epha3",-1.07,-1.12,-0.41,0.54,0.99,1.07
"Gpr37",-1.04,-1.19,-0.34,0.53,1.01,1.03
"Trem2",-1.08,-1.02,-0.36,0.17,1.12,1.17
"Hcar2",-1.13,-0.94,-0.52,0.4,1.08,1.11
"Tek",-1.02,-0.95,-0.62,0.34,1.25,1
"Notch3",-1.05,-0.91,-0.64,0.34,1.2,1.06
"Epha7",-1.07,-0.91,-0.7,0.65,0.91,1.13
"Agtrap",-1.04,-0.88,-0.72,0.56,0.81,1.28
"Cdh19",-0.99,-1.13,-0.57,0.79,0.91,0.99
"Ror2",-0.96,-1.12,-0.59,0.59,0.96,1.11
"Neo1",-1.15,-0.93,-0.61,0.76,0.95,0.98
"Eda2r",-1.14,-0.99,-0.55,0.7,0.99,0.98
"Acvr1",-0.95,-0.99,-0.75,0.6,1.09,1.01
"Pcdh1",-0.94,-1.1,-0.64,0.68,1.07,0.93
"Clca2",-0.94,-1.1,-0.65,0.66,1.09,0.93
"Pth1r",-1.12,-1.11,-0.39,0.77,1.05,0.81
"Nrcam",-0.98,-1.26,-0.38,0.67,0.95,0.99
"Pcdhgb1",-1.05,-1.21,-0.36,0.79,0.88,0.94
"Ntrk2",-0.95,-1.11,-0.64,0.9,1.02,0.78
"Bmpr1b",-1.02,-1.16,-0.46,0.93,0.73,0.99
"Negr1",-0.97,-1.1,-0.63,1.04,0.72,0.93
"Grik2",-0.98,-1.12,-0.59,0.92,0.83,0.94
"Mc1r",-1.04,-1.09,-0.56,0.99,0.83,0.87
"Cd200r4",-0.71,-0.85,-1.13,0.71,0.82,1.16
"Hcar1",-0.85,-1,-0.85,0.64,0.92,1.14
"P2ry2",-0.81,-1,-0.9,0.66,1.05,1.01
"Cd151",-0.8,-1,-0.9,0.6,1.06,1.03
"Sfrp1",-0.86,-1,-0.86,0.66,1.03,1.02
"M6pr",-0.83,-0.98,-0.9,0.66,1,1.05
"Plxna1",-0.62,-1.11,-0.93,0.55,1.05,1.05
"Adcyap1r1",-0.85,-0.99,-0.85,0.54,1.12,1.03
"Ccr2",-0.75,-0.99,-0.93,0.51,1.16,1
"Pdcd1",-0.62,-1.1,-0.96,0.68,1.05,0.95
"Itgav",-0.69,-1.05,-0.97,0.76,1.06,0.89
"Kit",-0.63,-1.06,-1,0.76,1.1,0.84
"Avpr1a",-0.56,-1.31,-0.77,0.78,1.03,0.84
"Agtr1a",-0.76,-1.17,-0.76,0.71,1.11,0.87
"Fzd6",-0.71,-1.18,-0.8,0.74,0.99,0.96
"Sdc1",-0.85,-0.84,-1.03,0.81,1.04,0.87
"Mcc",-0.74,-1.02,-0.96,0.84,1.01,0.87
"Rtn4rl2",-0.75,-0.93,-1.04,0.76,1.02,0.94
"Calm1",-0.74,-0.99,-0.99,0.82,0.96,0.94
"Htr7",-0.76,-1.03,-0.93,0.96,0.83,0.94
"Cd80",-0.76,-1,-0.96,0.97,0.91,0.85
"Bmpr1a",-0.83,-0.98,-0.93,0.96,0.92,0.85
"Ednrb",-0.88,-0.98,-0.87,0.76,1.04,0.93
"Unc5b",-0.84,-1.01,-0.88,0.8,1.06,0.86
"Plxnd1",-0.95,-1,-0.78,0.87,1.03,0.83
"Tacr1",-0.86,-1.01,-0.86,0.91,0.96,0.86
"Ryk",-0.88,-1,-0.85,0.91,0.94,0.88
"Cdh10",-0.68,-0.79,-1.16,1.29,0.66,0.69
"Nlgn2",-0.67,-0.86,-1.15,1.15,0.76,0.77
"Il18rap",-0.73,-0.75,-1.2,1.11,0.7,0.86
"Ramp3",-0.57,-1.1,-0.97,1.24,0.72,0.68
"Sphk1",-0.68,-1.16,-0.86,1.02,0.91,0.76
"Gipr",-0.69,-1.01,-1,1.06,0.97,0.66
"Il13ra2",-0.85,-1,-0.85,1.22,0.82,0.65
"Fpr2",-0.99,-1.02,-0.69,1.13,0.8,0.77
"Il3ra",-0.99,-0.93,-0.76,1.21,0.81,0.66
"Gfra1",-0.95,-0.81,-0.95,1.06,0.89,0.77
"Tnfrsf11b",-0.89,-0.85,-0.99,0.97,0.9,0.86
"Cadm4",-0.92,-0.98,-0.82,1.12,0.8,0.8
"Klrk1",-0.94,-0.94,-0.84,1.12,0.79,0.81
"Cftr",-0.86,-1.01,-0.86,1.06,0.88,0.79
"Gpr176",-0.87,-0.95,-0.92,1.03,0.86,0.84
"Gpr135",-1.03,-0.65,-1.03,0.98,0.76,0.96
"Ednra",-1.02,-0.68,-1.02,0.83,1.01,0.88
"Lpar4",-1.02,-0.67,-1.02,0.78,0.95,0.97
"Jam3",-1.06,-0.55,-1.05,1.14,0.81,0.71
"Trpv4",-1.13,-0.49,-1.05,1.02,0.79,0.85
"Pde1a",-1.11,-0.43,-1.11,0.91,1.01,0.72
"Cdh11",-1.28,-0.46,-0.89,0.99,0.87,0.78
"Epha5",-1.17,-0.58,-0.84,1.25,0.43,0.92
"Nrxn2",-1.23,-0.62,-0.78,1.14,0.55,0.94
"Procr",-1.19,-0.72,-0.78,1.09,0.8,0.79
"Gpc1",-1.24,-0.75,-0.67,1.12,0.77,0.77
"Cngb1",-1.24,-0.84,-0.58,1.07,0.67,0.91
"Ddr1",-1.35,-0.7,-0.55,1.14,0.68,0.79
"Sv2c",-1.11,-0.47,-0.96,1.39,0.63,0.53
"Ptgir",-1.06,-0.62,-0.89,1.43,0.51,0.63
"Crlf1",-0.95,-0.85,-0.79,1.45,0.59,0.55
"Fpr1",-0.99,-0.67,-0.99,1.28,0.64,0.73
"P2ry14",-0.9,-0.85,-0.95,1.22,0.65,0.82
"Adgrl3",-1.55,-0.69,-0.02,1.04,0.99,0.23
"Adora3",-1.51,-0.48,-0.37,1.33,0.65,0.38
"Bdkrb1",-1.32,-0.71,-0.29,1.5,0.63,0.19
"Lgr6",-0.99,-1.16,-0.46,1.22,0.72,0.67
"Htr2a",-0.93,-1.09,-0.6,1.29,0.78,0.55
"Glp2r",-0.92,-1.06,-0.58,1.43,0.65,0.47
"Ptgfr",-0.96,-1.08,-0.58,1.11,0.45,1.07
"Drd1",-1.06,-1.16,-0.28,1.11,0.32,1.07
"Mag",-1.01,-0.12,-0.85,-0.48,1.14,1.31
"Epha2",-0.79,-0.15,-0.45,-1.05,1.4,1.04
"Vtn",-1.04,-0.57,-0.13,-0.71,1.44,1
"Dchs1",-1.05,-0.31,-0.32,-0.8,1.33,1.14
"Itga11",-0.91,-0.44,-0.32,-0.84,1.41,1.1
"Npr3",-0.08,-0.55,-1.07,-0.74,1.13,1.31
"Cdhr2",0.05,-1.01,-1.01,-0.39,1.19,1.18
"Il1r2",-0.41,-0.89,-0.91,-0.29,1.29,1.2
"Scarb1",-0.18,-1.01,-0.82,-0.45,1.33,1.14
"Icam1",-0.21,-0.92,-0.88,-0.49,1.25,1.24
"Efna4",-0.54,-0.96,-0.54,-0.5,1.18,1.36
"Sdc4",-0.4,-1.08,-0.65,-0.36,1.27,1.23
"Tnfrsf19",-0.43,-0.85,-0.63,-0.63,1.47,1.06
"Aplnr",-0.55,-0.78,-0.55,-0.68,1.38,1.18
"Acvr2a",-0.64,-0.72,-0.62,-0.6,1.36,1.21
"Epor",-0.49,-0.61,-0.57,-0.89,1.22,1.33
"Lyve1",-0.83,-0.53,-0.61,-0.6,1.2,1.36
"Tnfrsf21",-0.74,-0.54,-0.57,-0.72,1.38,1.19
"Gpr84",-0.67,-0.8,-0.67,-0.43,1.32,1.24
"Plxnb3",-0.66,-0.58,-0.83,-0.48,1.39,1.17
"Gabra1",-0.74,-0.57,-0.74,-0.51,1.24,1.33
"Il1rap",-0.81,-0.54,-0.74,-0.47,1.33,1.23
"Tsku",-1.61,-0.41,-0.42,1.04,0.72,0.67
"Tnfrsf12a",-1.46,-0.55,-0.56,1.04,0.77,0.77
"Hmmr",-1.49,-0.59,-0.45,1.1,0.72,0.71
"Pkd2",-1.38,-0.59,-0.66,0.81,0.97,0.85
"Erbb2",-1.39,-0.46,-0.76,0.89,0.92,0.8
"Il13ra1",-1.64,-0.4,-0.39,0.67,0.93,0.83
"Cadm1",-1.56,-0.49,-0.45,0.7,0.86,0.94
"Fzd1",-1.54,-0.5,-0.49,0.74,0.91,0.88
"Fgfr3",-1.79,-0.22,-0.2,0.99,0.68,0.53
"Mpz",-1.8,-0.07,-0.21,0.37,1.09,0.62
"Gpr4",-1.87,-0.11,-0.07,0.67,0.89,0.5
"Sort1",-1.64,-0.5,-0.23,0.49,0.94,0.95
"Ptprd",-1.72,-0.48,-0.04,0.45,0.9,0.89
"Lpar1",-1.66,-0.26,-0.47,0.68,0.8,0.92
"Npr2",-1.7,-0.21,-0.44,0.69,0.88,0.78
"Cdh2",-1.79,-0.24,-0.21,0.66,0.76,0.83
"Vcam1",-1.78,-0.22,-0.22,0.5,0.85,0.87
"Ptpro",-1.72,-0.2,-0.36,0.48,0.91,0.89
"Ptprr",-1.07,-0.67,-0.67,0.24,1.62,0.54
"Notch4",-1.22,-0.46,-0.56,-0.18,1.34,1.07
"Fkbp1b",-1.38,-0.4,-0.48,-0.05,1.22,1.1
"Siglec1",-1.22,-0.74,-0.38,-0.02,1.14,1.23
"Trem1",-1.13,-0.85,-0.29,-0.14,1.26,1.15
"Atp6ap2",-0.92,-0.67,-0.76,-0.14,1.25,1.24
"Cdh13",-0.92,-0.67,-0.74,-0.17,1.37,1.12
"Kcnj2",-0.93,-0.67,-0.7,-0.2,1.34,1.17
"Ccrl2",-1.12,-0.63,-0.56,-0.14,1.23,1.22
"Tlr2",-0.96,-0.76,-0.66,-0.1,1.27,1.2
"Nrp1",-0.99,-0.79,-0.57,-0.12,1.29,1.18
"Gpc6",-0.98,-0.83,-0.62,0,1.2,1.23
"Tnfrsf1b",-0.95,-0.82,-0.66,-0.01,1.29,1.15
"Jam2",-0.96,-0.56,-0.96,0.12,1.28,1.08
"Clstn1",-0.96,-0.62,-0.91,0.11,1.3,1.08
"Cmklr1",-1.04,-0.79,-0.76,0.28,1.1,1.2
"Itga9",-1.06,-0.81,-0.73,0.34,1.18,1.08
"Itgb1",-1.03,-0.84,-0.68,0.21,1.2,1.14
"Adipor1",-0.94,-0.79,-0.77,0.11,1.28,1.12
"Sdc3",-1,-0.8,-0.72,0.14,1.14,1.23
"Dag1",-0.97,-0.82,-0.73,0.13,1.15,1.24
"Acvrl1",-1.3,-0.56,-0.67,0.32,1.13,1.08
"Tnfrsf1a",-1.26,-0.61,-0.67,0.28,1.15,1.09
"Kdr",-1.34,-0.59,-0.61,0.4,1.19,0.96
"Ephb3",-1.36,-0.63,-0.52,0.34,1.18,0.99
"Pvr",-1.36,-0.59,-0.56,0.31,1.17,1.02
"C5ar1",-1.32,-0.72,-0.51,0.41,1.07,1.08
"Esam",-1.29,-0.72,-0.57,0.45,1.19,0.94
"Itga1",-1.24,-0.71,-0.64,0.44,1.14,1.02
"Nectin2",-1.27,-0.65,-0.7,0.51,1.1,1
"Ptk7",-1.31,-0.43,-0.76,0.3,1.2,0.99
"Sele",-1.26,-0.45,-0.77,0.22,1.27,0.98
"Cd36",-1.19,-0.78,-0.54,0.21,1.2,1.09
"Plxna4",-1.21,-0.66,-0.53,0.06,1.34,1
"Cdh5",-1.29,-0.6,-0.59,0.21,1.24,1.02
"Lrp5",-1.28,-0.55,-0.58,0.08,1.21,1.13
"Marco",-1.32,-0.47,-0.63,0.13,1.06,1.22
"Fcgr3",-1.39,-0.65,-0.44,0.3,1.08,1.1
"Plxnb2",-1.38,-0.63,-0.41,0.19,1.09,1.14
"Alox5",-1.56,-0.3,-0.21,-0.13,1.07,1.13
"Scara3",-1.65,-0.21,0,-0.22,1.08,1.01
"Itga2",-1.59,-0.2,-0.21,-0.16,1.22,0.94
"Ret",-1.27,-0.23,-0.23,-0.65,1.22,1.16
"Sdk1",-1.36,-0.39,-0.31,-0.3,1.21,1.16
"P2ry13",-1.46,-0.34,-0.19,-0.3,1.18,1.12
"Plaur",-1.2,-0.35,-0.37,-0.53,1.33,1.12
"Adra2a",-1.21,-0.45,-0.32,-0.47,1.28,1.18
"Csf2ra",-1.21,-0.48,-0.4,-0.37,1.24,1.21
"Pdgfra",-1.64,-0.25,-0.43,0.36,0.96,1
"Il11ra1",-1.7,-0.25,-0.28,0.32,0.98,0.94
"Colec12",-1.69,-0.04,-0.39,0.12,1.03,0.96
"Fzd8",-1.71,0,-0.46,0.29,0.99,0.88
"Acvr2b",-1.72,-0.13,-0.27,0.25,0.65,1.21
"P2ry6",-1.68,-0.34,-0.17,0.18,0.98,1.02
"P2ry12",-1.62,-0.39,-0.19,0.13,0.94,1.13
"Csf1r",-1.74,-0.22,-0.09,0.1,0.98,0.97
"Anpep",-1.78,-0.2,-0.12,0.23,0.89,0.98
"Pde1c",-1.55,-0.5,-0.19,0.11,1.18,0.95
"Csf3r",-1.4,-0.62,-0.29,0.04,1.19,1.08
"Ackr1",-1.44,-0.5,-0.27,-0.05,1.25,1.01
"Gpr35",-1.44,-0.49,-0.33,0,1.2,1.07
"Itga8",-1.57,-0.29,-0.5,0.37,1.17,0.84
"Flt4",-1.42,-0.43,-0.55,0.21,1.21,0.99
"F11r",-1.49,-0.39,-0.49,0.24,1.22,0.91
"S1pr3",-1.5,-0.38,-0.47,0.2,1.21,0.94
