"","CD8_DLN_3","CD8_DLN_1","CD8_DLN_2","CD8_Tumor_3","CD8_Tumor_1","CD8_Tumor_2"
"Cck",-0.96,-1.11,-0.63,0.95,0.95,0.8
"Mmp13",-0.93,-1.05,-0.74,1,0.82,0.9
"Ereg",-0.94,-1.08,-0.69,0.98,0.9,0.84
"Sema3c",-0.94,-1.09,-0.68,0.99,0.84,0.89
"Fgf18",-0.79,-1.27,-0.57,0.58,1.07,0.98
"Spp1",-0.67,-1.1,-0.91,0.6,1.07,1.01
"Il1rn",-0.61,-1.15,-0.9,0.57,1.04,1.05
"Tnfsf4",-0.61,-1.19,-0.84,0.55,1.06,1.04
"Ctf1",-0.86,-0.97,-0.86,0.73,1.25,0.7
"Dll4",-0.76,-0.89,-1.03,0.6,1.21,0.87
"Npnt",-1,-1.05,-0.58,0.48,1.15,1
"Pdgfd",-1.14,-0.86,-0.65,0.5,1.17,0.97
"Hspg2",-1.03,-0.87,-0.78,0.57,1.13,0.99
"Nid1",-1.07,-0.86,-0.74,0.53,1.13,1.01
"Nts",-0.85,-0.99,-0.84,0.57,1.16,0.95
"Cxcl14",-0.86,-0.99,-0.86,0.62,1.1,0.98
"Tgfb2",-0.92,-0.96,-0.82,0.6,1.1,0.99
"Pf4",-0.92,-1.04,-0.75,0.74,0.99,0.98
"Pcdh1",-0.94,-1.1,-0.64,0.68,1.07,0.93
"Il1a",-0.93,-1.12,-0.63,0.67,1,1.01
"Cx3cl1",-1.73,-0.32,-0.26,0.7,0.93,0.68
"Vcam1",-1.78,-0.22,-0.22,0.5,0.85,0.87
"Cdh2",-1.79,-0.24,-0.21,0.66,0.76,0.83
"Il15",-1.77,-0.37,-0.1,0.79,0.61,0.84
"Wnt5a",-1.82,-0.14,-0.22,0.9,0.66,0.61
"Cxcl16",-1.89,-0.09,-0.09,0.78,0.65,0.63
"Mpz",-1.8,-0.07,-0.21,0.37,1.09,0.62
"Sema6d",-1.74,-0.25,-0.21,0.36,1.05,0.79
"Trf",-1.73,-0.26,-0.19,0.24,0.95,0.98
"Il12b",-1.78,-0.28,-0.07,0.3,0.96,0.87
"Thbs4",-1.48,-0.42,-0.37,0.25,1.46,0.56
"Tgfa",-1.48,-0.25,-0.59,0.14,1.2,0.97
"Efnb2",-1.57,-0.14,-0.38,-0.05,1.22,0.93
"Inhbb",-1.46,-0.48,-0.54,0.4,1.13,0.94
"F11r",-1.49,-0.39,-0.49,0.24,1.22,0.91
"Has2",-1.53,-0.36,-0.48,0.27,1.14,0.96
"Jag1",-1.53,-0.4,-0.44,0.26,1.12,0.99
"C3",-1.62,-0.35,-0.35,0.31,1.01,1.01
"Fn1",-1.59,-0.41,-0.42,0.47,0.98,0.97
"Cxcl1",-1.63,-0.4,-0.39,0.58,0.97,0.88
"Bmp2",-1.66,-0.4,-0.3,0.5,0.98,0.87
"Fgf1",-1.54,-0.23,-0.63,0.39,1.05,0.96
"Hc",-1.6,-0.11,-0.64,0.49,0.86,1.01
"Cadm1",-1.56,-0.49,-0.45,0.7,0.86,0.94
"Cxcl12",-1.44,-0.42,-0.66,0.51,1.05,0.96
"Robo1",-1.45,-0.39,-0.69,0.54,1,0.99
"Ptgs2",-1.48,-0.53,-0.54,0.6,0.98,0.96
"Itgam",-1.45,-0.55,-0.55,0.54,1.02,0.99
"Angpt1",-1.36,-0.22,-0.92,0.56,1.13,0.82
"Ntn1",-1.42,-0.24,-0.85,0.59,1.01,0.92
"Cdh5",-1.29,-0.6,-0.59,0.21,1.24,1.02
"App",-1.33,-0.59,-0.61,0.32,1.12,1.08
"Pvr",-1.36,-0.59,-0.56,0.31,1.17,1.02
"Sele",-1.26,-0.45,-0.77,0.22,1.27,0.98
"Pdgfb",-1.3,-0.54,-0.7,0.37,1.21,0.96
