gene_name	Caco2	HCT115	HCT16	SFM	SW1417	SW403	SW480	SW620
KRT8P15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01076	0.0	0.0	0.0	0.0	0.0	0.133	0.24	0.0
AL162457.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC092484.1	0.0	0.0	0.0	0.0	0.0	0.133	0.418	0.0
RPL22P3	0.0	0.215	0.0	0.293	0.0	0.133	0.166	0.0
AL121787.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL033380.1	0.205	0.044	0.0	0.078	0.0	0.0	0.0	0.0
MRPL49	352.387	289.22	259.781	269.325	341.046	266.583	307.236	284.379
CYP2D8P	0.0	0.272	0.181	0.145	0.08	0.685	0.18	0.287
CDC42EP2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC245369.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00989	0.687	0.744	0.954	0.9	0.401	1.415	1.37	0.137
FAM133CP	0.0	0.275	0.0	0.0	0.0	0.0	0.0	0.0
RGPD6	0.113	0.131	0.0	0.0	0.0	0.0	0.0	0.113
RF00026	0.0	0.075	0.0	0.0	0.0	0.0	0.0	0.113
BMS1P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC100810.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL160035.1	0.0	0.0	0.0	0.587	0.0	0.0	0.0	0.076
MTND5P42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC25A5P9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UGT2B29P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC010406.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPS3AP44	0.0	0.091	0.0	0.0	0.322	0.067	0.0	0.076
ATP6V1E2	2.18	3.194	7.444	7.687	4.026	6.388	3.816	3.233
RPL38P4	0.0	0.118	0.717	0.078	0.0	0.133	0.0	0.0
KNOP1P5	0.0	2.115	4.964	0.293	0.165	0.735	0.722	0.2
KLHL17	6.84	7.627	2.567	2.325	4.531	9.953	3.468	6.306
OR7E59P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZCCHC13	0.0	0.0	0.0	0.0	0.0	0.067	0.0	0.0
NTAN1P2	5.97	3.609	3.253	5.378	5.966	2.908	4.048	5.43
DBET	0.0	0.162	0.0	0.0	0.0	0.162	0.434	0.0
MT2P1	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WDR64	0.12	0.454	0.85	0.603	1.233	0.468	0.0	0.0
TTTY25P	0.0	0.0	0.0	0.0	0.0	0.067	0.0	0.0
KIF26B	0.0	0.044	0.861	0.0	0.576	1.153	2.256	0.0
AC018553.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KLHL35	33.495	37.985	37.787	51.362	31.538	32.783	32.648	25.059
5-Sep	0.0	0.072	0.0	0.0	0.0	0.0	0.0	0.046
AC002306.1	6.035	6.07	7.967	11.292	9.06	7.27	8.37	5.759
MYOCOS	0.357	0.909	1.614	1.4	1.154	2.39	2.202	1.834
MIR548AH	0.0	0.0	0.0	0.0	0.329	0.0	0.0	0.0
AC134980.1	0.0	0.0	1.203	0.0	0.0	0.0	0.0	0.0
AC083841.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EIF4ENIF1	12.907	19.329	14.684	15.428	16.95	12.858	16.808	12.421
LRRC26	0.0	0.536	0.096	1.038	0.0	0.803	1.172	1.377
AC025171.5	0.0	1.237	1.581	2.55	3.162	7.037	1.824	0.563
TRIM46	6.23	7.398	9.346	14.157	7.421	9.132	7.566	5.857
KRTCAP2	5.357	3.811	3.839	2.853	5.03	3.06	3.516	2.964
CXCR1	8.563	8.986	10.066	21.868	8.358	20.038	26.014	10.39
ARPC2	7747.657	7156.9	5720.529	7238.622	6141.272	7980.28	6991.79	6445.16
TSACC	0.0	0.56	0.954	0.665	0.17	0.67	0.514	0.226
CCT3	94.627	103.75	135.479	101.72	82.959	112.208	154.82	128.607
MIR3976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NFIA	16.415	38.838	11.983	17.177	14.155	12.842	47.848	20.491
C1orf87	0.338	2.344	0.4	0.293	0.392	0.403	0.0	0.2
AC005332.2	0.123	0.618	0.0	0.31	0.285	0.0	0.0	0.781
CCDC27	2.308	3.344	1.284	1.897	2.05	1.38	1.73	0.873
SLC39A9	168.827	162.538	196.303	157.487	168.094	130.795	124.538	157.014
AC006305.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC020934.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BCLAF1	451.523	450.042	505.671	528.478	501.821	339.632	544.164	489.949
DIRAS3	0.0	0.0	0.334	0.0	0.0	0.0	0.0	0.0
IL23R	3.192	6.067	7.504	7.515	6.992	7.052	4.688	4.499
LINC02002	0.0	0.236	0.0	0.372	0.22	0.0	0.18	0.0
RN7SL353P	1.378	1.86	2.977	1.175	1.001	2.6	2.288	1.699
AC016405.3	0.982	1.852	2.594	6.858	1.478	2.147	6.746	2.217
VAMP8	172.483	101.223	120.403	141.873	118.27	188.157	97.388	166.839
MIR3915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC127024.2	0.233	0.446	1.43	1.17	0.581	0.835	1.598	1.164
VPS35	571.635	494.748	673.376	598.052	530.075	476.133	605.982	536.207
AC015688.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR3A3	2.17	2.726	3.071	5.71	3.63	4.202	6.024	2.324
RF00432	0.12	0.0	0.0	0.0	0.0	0.0	0.36	0.0
RF00019	0.0	0.218	0.666	0.0	0.165	0.0	0.0	0.0
RF00190	0.0	0.0	0.0	0.0	0.0	0.067	0.0	0.0
RF00019	0.0	0.0	0.0	0.0	0.0	1.138	0.0	0.0
AC008632.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTR1B	75.997	100.862	33.6	91.59	50.691	89.422	76.126	86.199
AC022730.3	0.0	0.091	0.0	0.0	0.0	0.0	0.0	0.0
AC037441.2	0.0	0.091	0.0	0.0	0.0	0.0	0.0	0.076
AL137779.3	0.123	0.0	0.153	0.0	0.36	0.2	0.18	0.0
AL049869.4	0.0	0.044	0.0	0.0	0.0	0.0	0.0	0.0
AL096869.2	0.0	0.149	0.0	0.0	0.08	0.0	0.0	0.0
AL355075.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNA5SP379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.014
RGS21	0.0	0.0	0.153	0.0	0.0	0.0	0.18	0.0
NMNAT1P1	0.0	0.184	0.0	0.0	0.0	0.935	0.0	0.0
AL627309.5	3.582	5.608	5.951	7.947	10.138	8.035	7.506	6.496
EMP2	18.332	17.884	17.957	22.085	19.688	22.472	17.486	14.551
AC098590.1	0.0	0.0	0.401	0.412	0.252	0.067	0.084	0.12
NBEAP1	0.0	0.46	0.0	0.0	0.0	0.133	0.722	0.0
AL080243.1	0.123	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VDAC1P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CNN2P6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KCTD11	37.848	28.122	39.546	21.57	16.527	22.09	23.056	39.964
GTF3AP5	0.0	0.218	0.0	0.0	0.0	0.0	0.18	0.0
AC011298.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GRPEL2P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC092669.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC009299.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL354771.1	0.0	0.0	0.0	0.0	0.246	0.0	0.0	0.0
AC118653.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC013269.2	0.0	0.0	0.0	0.0	0.0	0.067	0.0	0.0
AP001464.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00459	0.0	0.0	0.0	0.0	0.08	0.0	0.434	0.0
AL358876.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TAF9P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PPIAP25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNU6-749P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC006455.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RF01210	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAM226B	0.247	0.371	0.373	1.832	1.772	0.937	0.334	1.444
RNU6-1208P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC010737.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL353633.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RF01879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MIR6726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL161669.3	0.0	0.256	0.229	0.587	0.643	0.133	0.0	0.321
AL591926.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC114341.1	0.343	0.145	2.683	0.155	0.148	0.267	0.084	0.45
SZRD1	633.733	549.87	714.163	544.862	632.335	798.558	530.19	627.776
AC025279.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACNATP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTOA	15.002	17.015	20.36	7.72	13.629	1.377	12.94	10.1
AL022238.1	0.0	0.0	0.0	0.0	0.0	0.412	0.0	0.0
AL929472.1	0.0	0.0	0.0	0.293	0.0	0.0	0.0	0.0
AC114402.2	0.0	0.0	0.0	0.0	0.09	0.202	0.084	0.0
LRP5	0.927	1.14	2.03	1.138	1.458	4.065	1.126	5.157
PDZD9	0.692	0.526	0.616	1.158	0.33	0.618	0.722	0.0
RTKN2	8.43	6.658	11.641	23.267	12.932	3.843	16.8	6.73
PNMA8A	5.402	3.099	7.704	3.353	4.993	4.198	7.258	3.737
AL031767.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RN7SL153P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DTX2P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RF00019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNU6-377P	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0
ABCA11P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.074
RN7SKP242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNU11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNA5SP486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC096564.1	0.123	0.504	0.0	0.285	0.215	0.095	0.434	0.0
RNU6-1129P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KIAA1324L	1.323	0.625	1.869	3.595	0.441	1.038	1.226	1.194
RPL23AP81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CALML5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC02005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MIOS	25.457	23.569	24.97	28.827	28.338	27.588	30.886	27.479
AC244131.2	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0
MOB1A	1210.067	1268.221	1291.137	1018.6	1323.393	1000.535	1027.594	1099.63
RF00568	0.0	0.072	0.0	0.0	0.266	0.133	0.0	0.48
RNU4-54P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RF00611	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0
RNA5SP67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CFAP99	0.0	0.0	0.401	0.0	0.0	0.0	0.0	0.0
RF00322	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0
AL357563.1	0.113	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAML1	288.133	279.335	262.111	232.53	217.911	316.682	321.668	350.931
AC087894.2	0.12	0.0	0.0	0.0	0.08	0.0	0.0	0.0
AC084819.1	0.0	0.644	0.0	0.0	0.0	0.0	0.902	0.39
RPL23AP28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC25A1P4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP000763.4	0.448	0.091	0.0	0.0	0.058	0.57	1.304	0.63
AP001893.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC087379.2	0.0	0.0	0.0	0.0	0.576	0.0	0.18	0.0
COPS8P3	0.0	0.044	0.0	0.0	0.0	0.0	0.0	0.0
AC233992.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP002812.3	0.205	0.0	0.0	0.0	0.082	0.0	0.0	0.074
AL136295.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC010768.1	0.0	0.0	0.344	0.0	0.0	0.135	0.0	0.0
AC015818.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC021594.1	0.0	0.091	0.0	0.0	0.0	0.0	0.0	0.0
AP000893.2	0.123	0.0	0.153	0.0	0.0	0.0	0.0	0.0
LTA	1.158	4.534	2.527	3.373	1.984	6.507	3.494	2.436
AC006213.1	0.467	0.075	0.49	0.0	0.162	1.385	0.0	0.224
ACTBP9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC055716.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC025165.2	3.153	1.686	0.181	0.0	2.988	1.0	1.436	3.916
AL928654.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC114947.2	4.077	2.721	2.023	1.325	3.806	1.218	0.972	4.397
AC011603.1	0.0	0.072	0.0	0.0	0.08	0.0	0.0	0.0
LINC02413	0.0	0.355	0.666	0.0	0.08	0.468	0.0	1.047
PRSS46P	0.0	0.0	0.0	0.0	0.0	0.067	0.0	0.0
AC026462.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC092115.2	8.95	8.434	8.254	13.615	10.28	9.363	9.778	10.989
INVS	8.932	4.815	4.239	5.068	6.319	4.325	10.298	3.741
UGT1A12P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC25A6P5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLUHP2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004485.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL137792.2	0.0	0.089	0.0	0.0	0.0	0.0	0.0	0.0
UBE3AP2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL391730.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MIR3200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARMC3	0.602	0.184	1.229	0.0	0.329	0.0	0.902	0.61
RF00416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MELK	5.51	12.442	3.27	1.645	2.0	8.49	17.028	0.204
SLITRK5	0.338	1.132	1.533	2.112	1.504	1.545	2.326	0.371
AC005288.1	0.0	0.222	0.82	0.078	0.0	0.0	0.0	0.0
MYL12A	1923.307	1536.623	757.46	1378.288	2128.35	1792.585	1433.956	1320.926
MYOM1	35.663	47.694	23.52	38.008	20.875	51.492	73.394	28.986
PRB2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC104073.2	0.0	0.0	0.0	0.293	0.0	0.0	0.0	0.0
CNOT7	317.952	429.464	364.247	411.488	356.681	455.715	434.316	358.87
TMEM184B	265.36	184.582	126.53	191.94	244.587	272.748	237.4	236.476
RAB2B	364.528	317.312	312.406	272.95	379.736	326.068	218.378	363.26
SCAMP5	0.0	0.224	0.827	0.0	0.385	0.335	0.18	0.046
ZNF521	3.128	0.44	0.096	11.06	1.201	0.135	3.074	3.284
ZNF81	37.218	30.338	39.646	30.328	35.086	36.66	25.98	48.914
BRINP2	0.842	0.44	0.229	0.0	0.0	0.0	0.444	0.0
MAGEB3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KLHDC1	0.228	1.081	1.699	1.087	0.966	0.68	0.542	0.376
AL445673.1	0.0	0.0	0.181	0.0	0.0	0.0	0.0	0.0
DRAP1	228.083	229.202	156.653	116.317	991.879	271.068	177.076	237.823
LINC01516	0.0	0.091	0.0	0.0	0.0	0.0	0.0	0.0
LONRF3	2.353	1.878	5.25	1.032	2.861	1.948	2.698	3.294
MCMBP	235.165	231.95	199.011	188.487	218.675	169.073	186.33	238.526
AC011840.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.076
AL008638.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAM171A2	1.412	1.052	0.97	1.758	0.747	1.493	1.74	1.466
PXK	528.997	527.731	561.269	488.335	604.555	595.885	499.628	558.486
AC004801.7	0.0	0.272	0.153	0.517	0.058	0.637	0.166	0.203
AC092135.3	0.24	0.702	0.0	0.812	0.0	1.008	0.576	0.046
AC007603.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC096656.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC097372.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046
AC015660.4	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC073072.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MIR2277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC013271.1	1.16	1.624	2.251	2.882	2.621	1.543	1.186	1.747
MIR4651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHKB	14.823	15.491	14.443	18.218	23.955	12.203	14.366	16.244
MIR1302-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RN7SL220P	1.04	2.679	3.143	9.57	2.61	0.83	7.488	0.717
TOB2	99.688	69.803	107.569	68.813	103.397	83.922	103.904	78.144
CNGA2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MIR6891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SEMA6B	835.115	530.968	744.369	153.402	477.236	1409.087	610.362	1411.933
MOCS3	4.248	8.564	4.35	9.105	2.452	4.938	5.468	5.346
STAU1	255.505	280.124	455.264	290.278	323.419	256.962	405.842	284.687
CDH26	41.5	57.926	10.883	5.487	13.614	77.655	47.638	89.814
PTGIS	1.773	3.434	1.381	4.427	2.939	1.683	1.894	1.669
ZNF444	16.225	11.852	12.749	11.4	13.108	16.028	20.148	13.077
SPTY2D1OS	1.07	0.226	0.249	0.288	0.815	3.155	2.074	0.196
RPL26	366.73	468.715	804.979	518.873	318.995	794.835	553.824	469.231
CCDC42	0.0	0.108	0.0	0.0	0.0	0.0	0.0	0.2
AC023442.3	0.0	0.0	0.0	0.0	0.082	0.0	0.0	0.0
AL080251.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SMIM35	0.0	0.532	0.267	0.293	0.266	0.067	0.0	0.076
ABCC6P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RRM1-AS1	1.698	1.105	2.54	2.023	2.222	0.523	1.932	0.974
AL137224.1	0.0	0.0	0.133	0.0	0.0	0.133	0.0	0.0
NAV2-IT1	0.0	0.0	0.0	0.0	0.246	0.267	0.0	0.0
AF238378.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC113192.5	0.0	0.0	0.0	0.465	0.0	0.067	0.0	0.0
RF00004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL355864.2	0.0	0.428	0.0	0.0	0.195	3.808	0.87	0.226
UBE2J2	208.207	177.095	155.473	139.328	155.392	183.813	133.522	167.233
TBC1D23	286.75	241.086	229.46	249.42	293.334	174.722	209.564	229.66
RF00017	26.188	25.674	26.634	36.825	26.609	22.51	34.83	16.023
RPS26P4	0.115	0.072	0.0	0.155	0.0	0.0	0.0	0.0
MIR3912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC018647.2	13.575	7.935	7.507	13.012	8.161	9.37	7.048	6.096
HS3ST1	2.147	5.018	30.419	1.372	2.901	2.237	1.95	1.236
CD99	37.727	70.577	77.949	70.283	89.508	64.41	142.932	43.37
AC097533.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPS27	2604.752	2821.241	3294.314	3140.06	2387.814	4760.917	2934.866	3122.254
BET1L	81.437	96.602	80.207	91.66	90.114	81.187	104.19	95.801
AC093831.2	0.962	0.309	0.0	0.0	0.09	0.133	0.166	0.121
AL117378.2	0.0	0.072	0.0	0.0	0.0	0.0	0.084	0.046
RPL23A	833.123	1078.649	1616.537	1092.625	796.919	1601.887	1219.402	894.66
AL513325.1	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0
Z94160.1	0.462	0.164	0.133	0.0	0.08	0.133	0.0	0.046
AL035425.1	0.0	0.184	0.0	0.0	0.0	0.0	0.0	0.0
SLC29A3	6.537	5.815	3.657	6.025	4.859	3.702	4.026	6.51
AC009027.1	0.0	0.091	0.0	0.0	0.114	0.34	0.0	0.0
AC079456.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G2E3	50.122	64.44	64.066	74.163	49.048	35.282	58.308	58.534
ITM2C	530.052	517.924	299.17	414.412	339.792	393.955	469.062	424.244
HTR2B	2.278	5.121	9.467	1.713	2.072	8.847	5.97	5.544
USP37	58.337	75.424	93.057	83.093	98.436	65.84	68.626	75.843
TTLL4	21.448	20.489	19.634	20.672	19.56	18.7	32.37	30.457
HECTD1	125.828	133.924	166.363	208.79	121.776	116.593	179.99	156.853
AC105105.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PEX3	4.938	5.777	4.99	5.643	5.222	4.593	7.022	3.471
SERPINE2	6.232	9.456	29.711	16.56	14.178	13.575	18.532	8.107
PSMG3-AS1	0.61	1.918	3.889	3.785	1.725	1.075	1.608	5.176
EID2	48.902	36.234	39.254	37.023	29.891	37.907	35.938	38.553
OR51A10P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CRLF3	727.593	692.648	532.294	651.033	783.998	912.53	645.212	764.153
ATP5MC2P3	1.433	3.486	0.981	2.42	0.91	0.958	0.742	1.643
IGKV1OR22-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNPEP	100.693	94.196	46.447	85.088	69.322	115.61	58.996	73.441
DMRTA1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VAV3-AS1	0.34	0.398	0.0	0.913	0.406	0.268	0.0	0.0
AC022306.1	0.0	0.0	0.0	0.0	0.195	0.0	0.0	0.0
RN7SL320P	0.442	0.426	0.191	0.285	0.84	0.402	0.518	0.204
ELFN2	0.338	0.0	0.0	0.0	0.0	2.058	0.0	0.303
AC138057.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPSAP5	0.0	0.184	0.0	0.0	0.0	0.0	0.0	0.0
NUFIP1	3.188	6.944	7.781	4.293	4.506	8.777	12.098	5.377
AC034238.2	0.0	0.074	0.0	0.0	0.08	0.207	0.0	0.0
AP001351.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GSC2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNU6-566P	0.0	0.0	0.0	0.0	0.409	0.2	0.36	0.0
RNA5SP460	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC080038.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNA5SP468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPEB2-DT	0.123	0.072	0.0	0.145	0.0	0.228	0.418	0.2
MTND4P12	37.683	32.349	35.49	42.018	51.266	39.495	19.804	40.95
LALBA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DHRS13	7.173	9.098	8.293	9.98	7.67	14.385	10.906	10.027
RNU6-656P	0.0	0.072	0.0	0.0	0.0	0.0	0.0	0.0
RNU7-137P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CACNB3	10.612	6.314	9.08	9.77	7.884	5.367	11.01	7.014
AC002401.1	0.0	0.044	0.216	0.0	0.0	0.0	0.0	0.0
ASTL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
