"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","MoDC_48Hwash_M4","MoDC_48Hwash_M3","MoDC_48Hwash_M1","MoDC_48Hwash_M2","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Tshz1",1.45,1.38,1.19,0.92,-0.63,-0.94,-0.65,-0.88,-0.35,-0.57,-0.91
"Arid5a",1.24,1.24,1.28,1.18,-0.56,-1,-0.75,-0.82,-0.19,-0.87,-0.76
"Foxp4",1.2,1.31,1.14,1.2,-0.64,-0.72,-0.75,-0.67,0.01,-1,-1.07
"Plagl2",1.38,1.24,1.19,1.15,-0.47,-0.71,-0.58,-0.47,-0.95,-0.97,-0.81
"Sp110",1.37,1.06,1.29,1.22,-0.9,-0.34,-0.55,-0.53,-0.73,-0.91,-0.98
"Sp100",1.23,1.18,1.17,1.25,-0.81,-0.24,-0.37,-0.35,-0.83,-1.12,-1.11
"Stat1",1.25,1.18,1.25,1.14,-0.92,-0.22,-0.42,-0.25,-1.05,-1.06,-0.9
"Stat2",1.3,1.21,1.15,1.11,-0.88,-0.2,-0.27,-0.3,-1.04,-1.07,-1.02
"Creb1",1.66,1.42,1.22,0.23,-0.38,-0.27,-0.8,-0.35,-1.13,-1.05,-0.56
"Zfp407",1.83,0.86,1.37,0.52,-0.3,-0.42,-0.74,-0.2,-1.15,-0.87,-0.91
"Zeb1",1.21,0.64,1.13,1.3,0.13,-0.61,-0.32,-0.54,-0.68,-1.95,-0.31
"Prdm4",1.28,1.14,1.38,0.54,-0.07,-0.49,-0.87,-0.91,-1.38,-0.99,0.37
"E2f4",0.94,1.88,1.21,0.43,-0.32,-0.62,-0.39,-0.21,-1.02,-1.4,-0.5
"Zhx2",0.2,0.89,2.24,0.55,-0.83,-1.24,-0.38,-0.71,0.35,-0.93,-0.15
"Cenpt",0.97,0.84,1.55,0.16,-0.49,-1.78,-0.7,-1.26,0.56,0.32,-0.17
"Nfix",1.82,0.84,0.87,0.84,-1.24,-0.7,-0.69,-0.44,0.26,-1.3,-0.26
"Ncoa1",1.45,1.01,0.74,0.52,-1.44,-0.54,-0.54,-0.54,1.06,-1.38,-0.35
"Hmgn3",1.36,0.95,1.5,0.47,-1.2,-0.75,-1.36,-0.66,0.42,-0.26,-0.48
"Ncoa3",0.65,0.92,1.45,1.1,-1.63,-0.52,-0.69,-0.33,0.7,-0.94,-0.71
"Zbtb5",0.73,1.23,1.22,1.42,-0.92,-0.95,-0.81,-0.67,0.39,-0.56,-1.08
"Hmbox1",0.93,1.5,1.02,0.86,-1.41,-0.53,-0.74,-0.78,0.66,-0.51,-0.99
"Nfya",0.67,1.81,0.93,0.55,-1.48,-1.34,-0.73,-0.2,0.51,-0.53,-0.2
"Mafg",-0.16,1.63,1.06,1.17,-1.03,-1.48,-0.72,-0.58,0.71,-0.3,-0.29
"Zfp703",0.14,1.7,1.04,1.2,-1.23,-1.46,-0.71,-0.22,0.23,-0.53,-0.14
"Spi1",-0.04,1.51,1.11,0.78,-1.32,-1.63,-0.57,-0.08,0.92,-0.51,-0.17
"Zbtb7a",-0.25,1.59,1.22,0.97,-1.55,-1.09,-0.6,-0.14,0.63,-0.8,0.01
"Tal1",0.8,0.68,1,0.7,-1.51,-1.18,-0.23,-0.87,1.56,-0.32,-0.63
"Zfp628",-0.01,1.01,0.93,1.18,-1.63,-1.12,-0.76,-0.45,1.35,-0.46,-0.03
"Pou2af1",1.3,0.46,1.41,0.83,-1.28,-0.83,-0.92,-0.52,-0.52,0.96,-0.88
"Fosb",1.56,-0.14,1.37,0.69,-0.88,-1.01,-0.99,-0.84,-0.16,1.09,-0.69
"Klf2",1.59,-0.5,1.34,0.95,-0.66,-0.84,-1.15,-1.11,0.35,0.59,-0.57
"Etv3",1.89,1.03,1.23,0.17,-1.36,-0.71,-0.45,-0.98,-0.35,-0.46,0
"Hbp1",1.99,0.75,0.78,0.56,-1.76,-0.63,-0.68,-0.48,-0.55,-0.2,0.19
"Zfp503",1.68,0.84,0.96,1.01,-0.79,-0.43,-0.42,-0.4,-1.75,-0.19,-0.51
"Arid5b",1.72,0.91,0.93,0.47,-1.44,-0.01,-0.58,-0.51,-1.57,0.05,0.04
"Rest",1.35,0.5,1.08,1.51,-1.28,-0.28,-0.24,-0.58,-1.23,0.09,-0.92
"Tet2",1.83,0.69,1.02,1.2,-0.71,-0.53,-0.75,-0.95,-1,-0.63,-0.17
"Nr3c1",1.73,0.94,0.98,1.07,-1.21,-0.47,-0.61,-0.78,-1.09,-0.33,-0.24
