"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Tnfsf8",1.62,-0.07,0.64,0.5,-0.57,-1.31,-0.81
"Dusp1",1.64,0.17,0.66,0.37,-0.86,-1.11,-0.86
"Timp1",1.9,0.07,0.28,0.25,-0.56,-1.16,-0.78
"Samsn1",1.91,-0.08,0.39,0.21,-0.5,-1.12,-0.8
"Slc28a2",1.73,0.22,0.64,0.11,-0.7,-1.17,-0.82
"Akap13",1.82,0.19,0.54,0.01,-0.54,-1.09,-0.93
"Fosl2",1.64,0.16,0.2,0.73,-0.49,-1.06,-1.17
"Cfb",1.65,0.23,0.43,0.4,-0.44,-1.33,-0.95
"Tyms",1.64,0.13,0.3,0.65,-0.49,-1.26,-0.97
"Batf",1.6,0.18,0.51,0.52,-0.55,-1.06,-1.2
"Atxn7l1",1.48,0.33,0.6,0.51,-0.63,-1.03,-1.27
"Fpr2",1.43,0.22,0.61,0.6,-0.48,-0.98,-1.41
"Gbp4",1.47,0.31,0.4,0.67,-0.48,-1.01,-1.37
"Ms4a4c",1.72,-0.02,0.51,0.42,-0.46,-1.08,-1.1
"Grap",1.61,0.2,0.51,0.42,-0.4,-1,-1.33
"Il33",1.65,-0.02,0.63,0.4,-0.42,-1,-1.24
"Plscr1",1.62,0.01,0.6,0.45,-0.45,-0.88,-1.35
"Homer1",1.52,-0.22,0.21,1.11,-0.96,-1,-0.66
"Resf1",1.13,-0.03,0.76,1.1,-1.04,-1.04,-0.88
"Zng1",1.35,-0.16,0.72,0.88,-1.21,-1.07,-0.5
"Tet2",1.38,0.25,0.57,0.75,-1.29,-1.07,-0.58
"Chmp5",1.45,0.14,1.03,0.24,-0.98,-0.97,-0.91
"Timp3",1.22,0.09,1.12,0.47,-1.06,-1.25,-0.59
"9330175E14Rik",1.18,-0.15,1.07,0.68,-0.67,-1.44,-0.67
"Ly86",1.17,-0.2,1.11,0.77,-0.87,-1.16,-0.82
"Mmp13",1.42,-0.12,0.56,0.9,-1.16,-0.49,-1.12
"Art3",1.58,-0.54,0.84,0.47,-0.9,-0.26,-1.19
"Dusp2",1.28,-0.55,1.02,0.74,-1.09,-0.3,-1.1
"Cul2",1.08,-0.21,1.09,0.42,0.03,-0.68,-1.72
"Ppp1r16b",1.4,-0.29,0.7,0.76,-0.54,-0.49,-1.54
"Camp",1.67,-0.58,0.67,0.32,-0.19,-0.44,-1.45
"Sema7a",2.02,-0.48,0.09,0.12,0.06,-1.03,-0.77
"Cacnb3",1.82,-0.22,0.21,0.15,0.22,-1.33,-0.86
"Ereg",1.81,0.05,-0.32,0.68,-0.18,-1.1,-0.95
"Fst",1.87,-0.1,0.07,0.49,-0.26,-0.88,-1.18
"Adprm",1.67,0.1,0.2,0.5,-0.13,-0.88,-1.46
"Cp",2.22,-0.26,-0.31,-0.17,-0.22,-0.45,-0.8
"Spata13",1.91,0.16,0.38,0,-0.62,-0.63,-1.19
"Plat",2.02,-0.03,0.12,0.11,-0.3,-0.96,-0.95
"Rnd1",1.98,0.14,0.03,0.16,-0.38,-0.98,-0.96
"Slamf1",2.05,-0.34,0.23,0.08,-0.3,-0.74,-0.99
"Ly6a2",2.12,-0.28,0.18,-0.16,-0.29,-0.92,-0.65
"Mab21l3",2.07,-0.09,0.21,-0.16,-0.3,-0.77,-0.97
"Arl5c",2.06,-0.12,0.36,-0.18,-0.46,-0.85,-0.8
"B230303A05Rik",1.91,-0.07,0.55,-0.14,-0.26,-1.07,-0.9
"Ly6a",1.86,-0.27,0.58,-0.15,0,-0.85,-1.18
"Glrx",1.55,0.51,0.44,0.17,-1.43,-0.23,-1
"Golph3l",1.63,0.18,0.55,0.24,-1.52,-0.69,-0.38
"Shisa5",1.72,0.15,0.38,0.29,-1.51,-0.53,-0.5
"Acvr1b",1.42,0.55,0.55,0.29,-1.59,-0.69,-0.54
"Ldha",1.47,0.55,0.53,0.31,-1.48,-0.79,-0.58
"Pla2g4a",1.37,0.41,0.7,0.46,-1.49,-0.72,-0.72
"Hipk1",1.45,0.51,0.64,0.29,-1.44,-0.68,-0.78
"Prag1",1.57,0.41,0.68,0.06,-1.42,-0.61,-0.7
"Il1rn",1.57,0.27,0.57,0.41,-1.37,-0.6,-0.84
"Ist1",1.52,0.2,0.75,0.33,-1.42,-0.64,-0.73
"Hmgn5",1.67,0.16,0.31,0.63,-0.93,-0.65,-1.19
"Mrpl52",1.78,0.24,0.34,0.34,-0.83,-0.69,-1.18
"Kdr",1.77,0.19,0.44,0.34,-1.03,-0.74,-0.97
"Scamp1",1.76,0.29,0.39,0.3,-1.09,-0.64,-1
"Cd302",1.63,0.32,0.35,0.58,-1.09,-0.87,-0.92
"Hspa5",1.59,0.32,0.49,0.5,-1.18,-0.81,-0.92
"Tulp4",1.59,0.36,0.57,0.38,-1.22,-0.86,-0.81
"Uso1",1.72,0.38,0.28,0.33,-1.32,-0.78,-0.61
"Sec24d",1.61,0.5,0.38,0.33,-1.34,-0.62,-0.86
"Inpp5b",1.86,-0.17,0.43,0.34,-1.18,-0.69,-0.58
"Parp3",1.85,0.14,0.04,0.46,-1.18,-0.85,-0.46
"Il4ra",1.9,0.13,0.06,0.4,-1.13,-0.74,-0.63
"Etv3",1.56,0.59,0.82,-0.38,-0.94,-1.1,-0.55
"Ap3b1",1.44,0.83,0.46,0.09,-1.28,-1.06,-0.48
"Ift57",1.59,0.51,0.47,0.1,-1,-1.37,-0.3
"Smox",1.71,0.6,0.12,0.15,-1.17,-1.1,-0.31
"Gm9895",1.61,0.76,0.21,0.1,-0.42,-1.27,-0.99
"Smpdl3b",1.74,0.65,0.13,0,-0.36,-1.29,-0.87
"Adgb",1.8,0.46,0.01,0.18,-0.35,-1.34,-0.77
"Slc1a2",1.73,0.42,0.26,0.21,-0.35,-1.24,-1.02
"Il36a",1.77,0.25,0.3,0.25,-0.34,-1.23,-1.01
"Kctd1",1.71,0.77,-0.15,0.28,-0.74,-1.16,-0.72
"Ezr",1.88,0.54,-0.13,0.12,-0.45,-0.82,-1.13
"Nppc",1.86,0.68,-0.17,-0.18,-0.22,-1.07,-0.91
"Ly6i",1.97,0.48,-0.02,-0.23,-0.39,-0.91,-0.91
"Thbs1",2.08,0.07,0.21,-0.42,-0.68,-0.93,-0.35
"Tbc1d9",2.03,0.03,0.04,0.13,-0.93,-0.39,-0.91
"Bst1",1.99,0.23,0.16,-0.13,-1.16,-0.57,-0.53
"Prr5l",0.86,0.35,0.48,1.08,-0.04,-1.25,-1.48
"Ccnl1",1.02,0.43,0.63,0.89,-0.33,-1.24,-1.4
"Ccl9",1.14,0.38,0.54,0.72,-0.06,-1.27,-1.45
"Zfp131",0.96,0.33,0.65,0.87,-0.08,-1.27,-1.47
"Kpna4",0.83,0.36,0.7,0.9,-0.01,-1.54,-1.23
"Nploc4",0.75,0.46,0.73,0.82,0.06,-1.49,-1.34
"Stk39",1.1,0.23,0.64,0.74,0.01,-1.58,-1.14
"Brpf3",1.06,0.35,0.54,0.64,0.23,-1.45,-1.37
"Ammecr1l",1.11,0.89,0.06,0.63,-0.03,-1.12,-1.53
"Zmynd15",1.18,0.72,0.37,0.42,0.03,-1.15,-1.56
"H2-T24",1.04,0.76,0.39,0.58,-0.05,-1.12,-1.61
"Mki67",0.99,0.64,0.2,0.91,-0.1,-0.99,-1.66
"Pop1",0.84,0.74,0.08,0.84,0.29,-1.31,-1.49
"Cd247",1.11,0.29,0.26,0.69,0.42,-1.14,-1.64
"Ccl17",1.45,0.1,0.21,0.83,-0.13,-1.04,-1.43
"Arg2",1.28,0.1,0.45,0.91,-0.22,-1.05,-1.48
"Cebpd",1.32,0.53,0.21,0.29,0.34,-1.58,-1.11
"Jaml",1.24,0.15,0.67,0.39,0.29,-1.39,-1.35
"Gda",1.43,-0.02,0.63,0.18,0.28,-1.64,-0.87
"Hk2",1.42,0.27,0.46,0.22,0.25,-1.62,-0.99
"Lck",0.66,0.76,0.5,0.48,0.49,-1.69,-1.19
"Ccdc88b",0.93,0.79,0.38,0.37,0.4,-1.45,-1.41
"Luzp1",0.86,0.69,0.72,0.33,0.27,-1.4,-1.46
"Prrc2c",1.03,1.01,0.42,-0.02,0.23,-1.57,-1.11
"Kdm1a",0.84,1.23,0.54,-0.04,0.03,-1.52,-1.09
"Npepps",0.97,0.79,0.63,0.33,0.02,-1.67,-1.07
"Calm1",0.87,0.99,0.44,0.3,-0.06,-1.87,-0.67
"Gm43445",0.71,1.63,0.44,-0.2,-0.4,-0.9,-1.28
"Il13",1.13,1.26,-0.01,0.29,-0.22,-1.31,-1.14
"Il20rb",1.47,0.91,0.04,0.28,-0.32,-1.15,-1.23
"Hrc",0.77,1.54,-0.07,0.46,-0.42,-0.97,-1.31
"Tlr3",1.01,1.45,-0.26,0.46,-0.55,-0.9,-1.21
"Ap5b1",1.12,1.24,0.23,0.41,-0.99,-1.08,-0.92
"Penk",1.07,1.12,0.43,0.44,-0.85,-1.04,-1.18
"Wbp4",0.96,1.17,0.26,0.68,-0.87,-1.06,-1.14
"Fbxl5",1.76,0.38,0.33,0.25,-0.71,-1.16,-0.85
"Insl6",1.63,0.29,0.44,0.51,-0.74,-1.04,-1.09
"Bcl3",1.64,0.46,0.46,0.3,-0.73,-1.03,-1.09
"Dusp16",1.61,0.39,0.51,0.4,-0.82,-1.12,-0.96
"Marco",1.58,0.65,0.55,-0.01,-0.57,-1.08,-1.13
"C1ra",1.68,0.62,0.46,-0.09,-0.57,-0.94,-1.17
"Slpi",1.75,0.63,0.19,0.07,-0.59,-0.85,-1.2
"Rgs16",1.76,0.65,0.29,-0.02,-0.78,-0.94,-0.96
"Casp4",1.79,0.3,0.24,0.26,-0.44,-0.84,-1.31
"Boc",1.68,0.38,0.29,0.39,-0.52,-0.99,-1.24
"Dtx2",1.47,0.43,0.52,0.37,-0.37,-0.9,-1.52
"Tle3",1.64,0.36,0.47,0.16,-0.45,-0.67,-1.51
"4933430I17Rik",1.36,0.62,0.05,0.82,-0.66,-0.72,-1.47
"Hsp90aa1",1.44,0.8,0.15,0.54,-0.88,-0.86,-1.2
"F730043M19Rik",1.45,0.52,0.47,0.5,-0.7,-0.85,-1.39
"Zfp346",1.59,0.6,0.34,0.31,-0.77,-0.76,-1.31
"Rbm39",1.43,0.59,0.11,0.53,-0.09,-1.25,-1.32
"Il1a",1.43,0.41,0.15,0.74,-0.22,-1.39,-1.12
"Ciapin1",1.55,0.52,0.13,0.59,-0.44,-1.2,-1.15
"Rsrc2",1.32,0.37,0.47,0.77,-0.44,-1.22,-1.27
"Sfswap",1.2,0.35,0.49,0.85,-0.29,-1.32,-1.28
"Fas",1.25,0.35,0.63,0.61,-0.18,-1.32,-1.34
"Srsf7",1.26,0.37,0.72,0.51,-0.23,-1.33,-1.3
"Trp53i11",1.37,0.43,0.49,0.56,-0.29,-1.22,-1.34
"Htra4",1.3,0.39,0.63,0.6,-0.39,-1.12,-1.41
"Thbs4",1.32,0.5,0.71,0.38,-0.4,-1.37,-1.14
"Traf3",1.3,0.5,0.8,0.37,-0.53,-1.18,-1.27
"Gcnt2",1.19,0.6,0.65,0.47,-0.27,-1.17,-1.46
"Slfn4",1.3,0.62,0.58,0.44,-0.41,-1.18,-1.35
"Ifi27l2a",1.29,0.56,0.62,0.47,-0.38,-1.25,-1.32
"Nts",1.2,0.67,0.79,0.31,-0.43,-1.29,-1.25
"Rcl1",1.26,0.77,0.67,0.25,-0.48,-1.17,-1.31
"Hdc",1.45,0.52,0.4,0.53,-0.52,-1.04,-1.35
"Pilrb1",1.44,0.6,0.39,0.51,-0.54,-1.15,-1.24
"Lad1",1.28,0.64,0.47,0.58,-0.45,-1.32,-1.2
"Slc2a1",1.35,0.78,0.39,0.44,-0.54,-1.21,-1.22
"Pilrb2",1.47,0.34,0.52,0.46,-0.28,-1.38,-1.13
"Saa3",1.56,0.49,0.52,0.28,-0.55,-1.18,-1.13
"Upp1",1.41,0.53,0.61,0.43,-0.61,-1.29,-1.08
"Aldh1a2",1.46,0.5,0.55,0.38,-0.46,-1.3,-1.13
"Ube2l6",1.23,0.98,0.39,0.23,-0.29,-1.33,-1.21
"Has1",1.26,0.84,0.28,0.49,-0.32,-1.37,-1.19
"Bpifc",1.23,0.82,0.44,0.42,-0.32,-1.37,-1.21
"Mtmr7",1.21,0.57,0.45,0.6,-0.15,-1.49,-1.19
"Notch1",1.16,0.68,0.46,0.52,-0.11,-1.36,-1.35
"Rab20",1.06,0.6,0.7,0.53,-0.19,-1.53,-1.17
"Mmp2",1.14,0.72,0.65,0.36,-0.19,-1.33,-1.35
"Mmp14",1.09,0.8,0.63,0.46,-0.36,-1.32,-1.3
"Prdx5",1.06,0.78,0.68,0.49,-0.41,-1.4,-1.2
"Tnfrsf8",1.47,0.52,0.83,-0.01,-0.54,-1.09,-1.19
"P3h2",1.67,0.47,0.51,-0.06,-0.32,-1.23,-1.04
"Hap1",1.54,0.55,0.45,0.22,-0.31,-1.31,-1.13
"Fcgr1",1.52,0.65,0.56,0.08,-0.52,-1.32,-0.97
"Icosl",1.42,0.65,0.65,0.08,-0.35,-1.36,-1.09
"D630033A02Rik",1.22,0.69,0.77,0.1,-0.23,-1.04,-1.52
"C3",1.58,0.39,0.5,0.04,-0.04,-1.1,-1.37
"Fkbp5",1.35,0.95,0.52,-0.06,-0.47,-0.86,-1.43
"Rictor",1.35,0.85,0.52,0.16,-0.74,-0.66,-1.47
"Rtn1",1.29,1.06,0.49,-0.11,-0.33,-1.28,-1.11
"Fam20b",1.27,0.9,0.73,0.08,-0.76,-1.01,-1.2
"Acsl4",1.24,1.02,0.69,-0.01,-0.74,-1.14,-1.05
"Tma16",1.35,0.75,0.52,0.37,-0.63,-1.34,-1.01
"Cdc42se1",1.33,0.56,0.66,0.46,-0.69,-1.37,-0.95
"F830208F22Rik",1.32,0.92,0.47,0.22,-0.68,-1.38,-0.87
"Mybpc3",1.19,0.84,0.58,0.42,-0.7,-1.45,-0.88
"Naip2",1.31,0.92,0.46,0.31,-0.69,-1.2,-1.11
"Gphn",1.15,0.97,0.63,0.34,-0.89,-1.18,-1.02
"App",0.73,1.05,0.77,0.59,-0.83,-1.32,-1
"Psme1",0.87,0.91,0.73,0.65,-0.74,-1.32,-1.09
"6530402F18Rik",0.89,0.97,0.66,0.61,-0.73,-1.36,-1.03
"Samd4b",0.86,0.93,0.66,0.69,-0.75,-1.4,-0.98
"Pgs1",0.99,1.01,0.63,0.42,-0.62,-1.45,-0.98
"Tnfrsf1a",0.84,0.87,0.92,0.46,-0.65,-1.42,-1.01
"Gypc",0.91,0.82,0.75,0.6,-0.57,-1.48,-1.03
"Hdac1",0.83,0.95,0.77,0.5,-0.5,-1.5,-1.04
"Apobec3",1.03,0.73,0.92,0.45,-0.82,-1.1,-1.21
"Lrrk2",0.98,0.71,0.88,0.58,-0.77,-1.16,-1.22
"Stat5a",1.02,0.67,0.81,0.66,-0.82,-1.14,-1.2
"Usp7",0.88,0.94,0.72,0.63,-0.82,-1.12,-1.22
"Chtop",1.02,0.85,0.7,0.57,-0.76,-1.09,-1.28
"Dnajb1",1.07,0.82,0.74,0.51,-0.77,-1.15,-1.22
"Tarm1",0.97,0.8,0.73,0.66,-0.78,-1.12,-1.25
"Ets2",1.05,0.78,0.72,0.61,-0.84,-1.03,-1.28
"Eid3",0.9,1.02,0.7,0.46,-0.58,-1.12,-1.36
"Tshz1",0.99,0.92,0.74,0.46,-0.74,-1.02,-1.35
"Tnfsf9",1.12,0.84,0.68,0.4,-0.54,-1.32,-1.18
"Slx4ip",1.11,0.8,0.78,0.38,-0.63,-1.23,-1.21
"Trim30b",1.16,0.7,0.62,0.57,-0.55,-1.22,-1.29
"Stat3",1.13,0.71,0.7,0.52,-0.59,-1.23,-1.26
"Gpr84",1,0.77,0.71,0.63,-0.63,-1.31,-1.17
"Gpd2",1.08,0.74,0.69,0.61,-0.69,-1.24,-1.19
"Dnajb6",1.15,0.63,0.5,0.83,-0.75,-1.25,-1.1
"Flrt3",1.24,0.51,0.54,0.79,-0.74,-1.16,-1.18
"Irak3",1.26,0.57,0.51,0.75,-0.81,-1.19,-1.1
"Ccl2",1.27,0.44,0.59,0.8,-0.91,-1.09,-1.1
"Gde1",1.14,0.63,0.6,0.78,-0.95,-1.02,-1.18
"Gm16685",1.13,0.45,0.7,0.77,-0.55,-1.12,-1.37
"Ier3",1.13,0.61,0.61,0.69,-0.51,-1.14,-1.39
"Bdp1",1.2,0.56,0.58,0.7,-0.53,-1.25,-1.25
"Rbm5",1.16,0.5,0.61,0.78,-0.57,-1.23,-1.26
"Plet1",1.06,0.64,0.56,0.82,-0.58,-1.31,-1.19
"Tlr2",1.07,0.65,0.64,0.74,-0.63,-1.27,-1.21
"Gpr132",1.09,0.46,0.77,0.78,-0.65,-1.26,-1.19
"Vcan",1.21,0.5,0.7,0.64,-0.61,-1.37,-1.07
"Nr4a3",1.25,0.39,0.78,0.62,-0.66,-1.25,-1.13
"Tgm2",1.14,0.63,0.72,0.65,-0.78,-1.19,-1.16
"1600014C10Rik",1.13,0.62,0.82,0.53,-0.68,-1.25,-1.16
"Mefv",1.17,0.64,0.78,0.51,-0.73,-1.25,-1.13
"Tmtc2",1.16,0.68,0.75,0.51,-0.77,-1.25,-1.09
"Dnmt3l",1.29,0.6,0.62,0.57,-0.77,-1.19,-1.12
"Palld",1.32,0.58,0.61,0.56,-0.8,-1.15,-1.13
"Ccnd2",1.19,0.6,0.68,0.61,-0.63,-1.19,-1.25
"Ptges",1.28,0.59,0.69,0.5,-0.68,-1.18,-1.19
"Plaur",0.92,0.66,0.54,0.98,-0.65,-1.32,-1.14
"Map2k3",0.94,0.65,0.4,1.05,-0.54,-1.24,-1.26
"Fbxo38",0.87,0.56,0.53,1.05,-0.48,-1.49,-1.04
"Igf2bp1",1.12,0.54,0.43,0.93,-0.56,-1.42,-1.04
"Ak4",1.02,0.61,0.38,1.05,-0.65,-1.35,-1.06
"Pla1a",1.13,0.77,0.34,0.76,-0.47,-1.4,-1.12
"Hspa1b",1.18,0.72,0.5,0.6,-0.5,-1.47,-1.04
"Apol9a",1.1,0.44,0.65,0.79,-0.44,-1.51,-1.03
"Alpk2",0.95,0.63,0.62,0.85,-0.48,-1.43,-1.14
"Iigp1c",1.02,0.49,0.67,0.87,-0.51,-1.35,-1.2
"Dpys",1.23,0.43,0.62,0.76,-0.81,-1.44,-0.78
"Denr",1.26,0.24,0.72,0.78,-0.76,-1.38,-0.86
"Hmgn2",1.38,0.55,0.47,0.54,-1,-1.39,-0.56
"Psma5",1.52,0.4,0.34,0.68,-0.8,-1.24,-0.89
"Serpinb2",1.47,0.47,0.46,0.6,-0.83,-1.16,-1.01
"Plpp1",1.42,0.55,0.45,0.62,-0.94,-1.14,-0.96
"Fbxw17",1.27,0.56,0.65,0.64,-1.09,-1,-1.03
"Syvn1",1.33,0.59,0.65,0.51,-1.21,-0.93,-0.94
"Glipr2",1.35,0.62,0.67,0.43,-1,-1.11,-0.97
"Tubb6",1.42,0.57,0.6,0.45,-1.02,-0.95,-1.08
"Serpine1",1.44,0.54,0.57,0.46,-0.89,-1.17,-0.96
"Hspa1a",1.37,0.55,0.62,0.53,-0.85,-1.14,-1.08
"Mxd1",1.4,0.51,0.66,0.47,-0.87,-1.11,-1.06
"Surf4",1.35,0.55,0.55,0.62,-1.02,-1.14,-0.91
"Trappc13",1.27,0.51,0.74,0.58,-1.08,-1.17,-0.85
"Ch25h",1.42,0.51,0.74,0.31,-0.78,-0.93,-1.27
"Cmklr1",1.36,0.66,0.67,0.34,-1.07,-0.76,-1.2
"Psma7",1.38,0.5,0.72,0.42,-1.1,-0.71,-1.2
"Ctu1",1.38,0.68,0.48,0.51,-0.89,-1.05,-1.12
"Snrnp27",1.42,0.58,0.62,0.4,-0.87,-0.92,-1.23
"Tnip3",1.38,0.55,0.62,0.52,-0.9,-1.02,-1.14
"Acp3",1.42,0.52,0.56,0.52,-0.82,-1.02,-1.19
"Ctsc",1.24,0.5,0.8,0.56,-0.87,-1.04,-1.19
"Socs3",1.26,0.57,0.67,0.61,-0.86,-1.11,-1.14
"Srgn",1.19,0.62,0.75,0.57,-0.88,-1.09,-1.16
"Lpcat2",1.21,0.76,0.73,0.41,-0.96,-0.99,-1.17
"Nos2",1.1,0.67,0.79,0.58,-0.93,-0.94,-1.27
"Il12b",1.24,0.61,0.74,0.48,-0.82,-0.95,-1.31
"Arcn1",1.1,0.94,0.6,0.43,-1.34,-1.03,-0.71
"Srpr",1.25,0.85,0.47,0.51,-1.25,-0.93,-0.9
"Slc39a14",1.12,0.81,0.63,0.59,-1.21,-1.08,-0.85
"Map2k1",1.1,0.7,0.73,0.61,-1.28,-0.99,-0.88
"Ilf3",1.06,0.73,0.76,0.59,-1.31,-0.99,-0.85
"Birc3",1.11,0.65,0.71,0.66,-1.31,-0.88,-0.95
"Pilra",1.04,0.65,0.72,0.74,-1.32,-0.91,-0.92
"Pik3r5",1.04,0.67,0.67,0.75,-1.39,-0.85,-0.89
"Il17ra",0.9,0.89,0.76,0.61,-1.3,-0.93,-0.94
"Stk40",0.99,0.76,0.71,0.7,-1.35,-0.84,-0.97
"Ccar1",0.94,0.84,0.64,0.72,-1.37,-0.84,-0.94
"Atp2a2",1.34,0.43,0.37,0.86,-1.31,-0.78,-0.91
"Dnajb11",1.44,0.39,0.46,0.68,-1.29,-0.9,-0.79
"Mrpl30",1.3,0.65,0.38,0.76,-1.13,-1.05,-0.89
"Cyp1b1",1.27,0.73,0.3,0.78,-1.11,-1,-0.97
"Rhoq",1.27,0.66,0.45,0.71,-1.23,-0.83,-1.02
"Alas1",1.23,0.79,0.36,0.7,-1.25,-0.87,-0.95
"Dennd5a",0.37,0.75,1.14,0.83,-1.25,-1.06,-0.78
"Cep170",0.44,0.59,1.1,0.92,-1.35,-1.1,-0.61
"Psen1",0.46,0.72,1.01,0.92,-1.3,-1.1,-0.71
"Washc4",0.62,0.68,0.87,0.89,-1.46,-1.11,-0.5
"Stau1",0.55,0.81,1.03,0.73,-1.37,-1.04,-0.71
"Slamf8",0.44,0.77,1.04,0.79,-1.44,-1.05,-0.55
"H2-K1",0.56,0.72,1.01,0.78,-1.5,-0.96,-0.6
"Rasa4",0.48,0.84,0.92,0.89,-1.37,-0.95,-0.8
"Dpf2",0.41,0.82,0.95,0.93,-1.34,-0.97,-0.81
"Rmdn3",0.5,0.69,1.02,0.92,-1.38,-0.84,-0.9
"Plek",0.46,0.76,0.96,0.94,-1.34,-0.84,-0.95
"Coa5",0.54,0.77,0.95,0.89,-1.32,-0.87,-0.96
"Psmd14",0.5,0.62,0.89,1.11,-1.28,-0.91,-0.93
"Cd44",0.61,0.79,0.83,0.94,-1.22,-0.93,-1.03
"Xpo6",0.6,0.71,0.86,0.99,-1.29,-0.82,-1.04
"Sap30",0.29,0.86,0.96,0.96,-1.3,-1.04,-0.73
"Tle4",0.39,0.9,0.77,1.05,-1.31,-1,-0.79
"Fam20c",0.36,0.94,0.89,0.94,-1.24,-0.98,-0.9
"Tmem11",0.36,0.88,0.89,0.99,-1.29,-0.99,-0.83
"Ythdf1",0.53,0.82,1.01,0.78,-1.39,-0.87,-0.86
"Actr2",0.47,0.89,1.02,0.74,-1.36,-0.9,-0.87
"Nono",0.46,0.93,1.02,0.72,-1.26,-1.06,-0.81
"Pi4k2a",0.47,0.89,1.02,0.74,-1.33,-1.01,-0.78
"Lyn",0.54,0.83,0.97,0.83,-1.23,-1.03,-0.9
"Psmb6",0.5,0.88,0.93,0.83,-1.31,-1.02,-0.82
"Azi2",0.67,0.71,0.9,0.88,-1.32,-1.03,-0.8
"Bid",0.56,0.79,0.88,0.91,-1.31,-1.08,-0.74
"4930453N24Rik",0.57,0.81,0.94,0.83,-1.32,-1.08,-0.74
"Crybg1",0.51,0.88,0.95,0.81,-1.21,-1.15,-0.78
"Gatad2a",0.54,0.88,0.87,0.84,-1.25,-1.17,-0.72
"H2-M3",0.58,0.81,0.89,0.89,-1.17,-1.16,-0.84
"Mllt6",0.61,0.8,0.82,0.94,-1.24,-1.11,-0.82
"Crem",0.14,0.7,1.38,0.66,-1.41,-0.96,-0.51
"Coq10b",0.07,0.77,1.49,0.5,-1.13,-1.17,-0.53
"Pdss1",0.23,0.61,1.18,0.82,-1.19,-1.43,-0.22
"Fcgr4",0.59,0.48,1.35,0.58,-1.08,-1.32,-0.59
"Sar1a",0.34,0.88,1.26,0.47,-1.06,-1.39,-0.5
"Cdv3",-0.11,1.19,0.62,1.02,-0.77,-1.54,-0.42
"Gnb2",-0.32,1.48,0.63,0.72,-1.13,-1.22,-0.15
"H2ac25",-0.38,1.26,1.03,0.83,-0.79,-1.01,-0.93
