"","MoDC_Tumor2","MoDC_Tumor1","MoDC_Tumor3","MoDC_LN2","MoDC_LN1","MoDC_LN3"
"Grpr",-0.64,-1.15,-0.91,0.79,0.96,0.95
"F2rl2",-0.92,-1.29,-0.33,1.2,0.82,0.52
"Ffar1",-0.94,-1.25,-0.45,1.01,0.87,0.76
"Cd8a",-0.63,-1.37,-0.62,1.06,0.74,0.81
"Tnfrsf13c",-0.66,-1.41,-0.54,0.97,0.81,0.83
"Sorl1",-0.52,-1.5,-0.46,1.19,0.5,0.78
"S1pr4",-0.37,-1.53,-0.6,1.1,0.68,0.72
"Tnfrsf25",-0.92,-0.95,-0.58,1.59,0.46,0.4
"Cxcr5",-0.66,-1.09,-0.83,1.39,0.72,0.48
"Ccr6",-0.66,-1.01,-0.92,1.4,0.74,0.45
"Itgax",-0.99,-0.6,-1.08,1.18,0.67,0.82
"Gp1ba",-1.17,-0.96,-0.52,1.18,0.74,0.73
"Spn",-1,-0.92,-0.81,0.95,0.94,0.84
"Itgad",-1.03,-0.84,-0.84,1.13,0.72,0.86
"Pkd1",-1.03,-0.75,-0.51,1.45,-0.15,1
"Npy1r",-0.78,-0.91,-0.5,1.22,-0.34,1.31
"Il17re",-0.79,-0.87,-0.92,1.11,0.26,1.21
"Ryr2",-0.81,-0.69,-0.89,0.88,-0.01,1.52
"Igf1r",-0.74,-0.68,-1.02,1.46,0.07,0.9
"Il31ra",-0.38,-0.8,-1.1,1.19,-0.17,1.26
"Il6st",-0.44,-1.1,-0.84,1.54,0.13,0.7
"Il2ra",-0.67,-1.05,-0.55,1.64,-0.05,0.68
"Ptprs",-0.34,-1.52,-0.38,1.3,0.09,0.85
"Cd2",-0.4,-1.59,-0.3,1.31,0.33,0.64
"Adgrl1",-0.63,-1.43,-0.33,1.35,0.29,0.75
"Cd6",-0.55,-1.49,-0.22,1.38,0.19,0.69
"Il17rb",-0.45,-1.51,-0.33,1.36,0.2,0.73
"Epha10",-0.05,-1.49,-0.59,1.38,0.01,0.73
"P2ry10",-0.17,-1.49,-0.61,1.36,0.23,0.68
"Gria3",-0.33,-1.44,-0.62,1.36,0.33,0.7
"Cd28",-0.6,-1.44,-0.05,1.36,-0.13,0.85
"Il18r1",-0.65,-1.43,-0.12,1.04,-0.03,1.2
"Itpr3",-0.69,-1.21,-0.64,1.21,0.29,1.05
"Ephb6",-0.69,-1.23,-0.66,1.14,0.39,1.05
"Cd247",-0.74,-1.37,-0.34,1.23,0.29,0.94
"Ptch1",-0.6,-1.34,-0.53,1.22,0.26,1
"Nlgn2",-0.79,-1.22,-0.51,1.27,0.28,0.97
"Adrb1",-0.57,-1.51,-0.38,0.89,0.44,1.13
"Gabbr1",-0.31,-1.64,-0.3,0.96,0.21,1.07
"F3",0.46,1.24,0.43,-1.57,0.2,-0.75
"C5ar1",0.48,1.22,0.46,-1.59,0.14,-0.71
"Msr1",0.5,1.17,0.46,-1.59,0.23,-0.76
"Fcgr3",0.51,1.1,0.55,-1.61,0.21,-0.76
"Hcar2",0.66,1.17,0.49,-1.58,-0.06,-0.67
"Agtrap",0.47,1.3,0.51,-1.55,-0.09,-0.65
"Mgrn1",0.42,1.2,0.61,-1.58,0.06,-0.72
"Csf1r",0.48,1.1,0.66,-1.63,0.07,-0.69
"P2rx4",0.45,1.08,0.66,-1.64,0.14,-0.7
"P2ry2",0.48,1.21,0.64,-1.47,0,-0.86
"Sdc3",0.64,1.05,0.64,-1.58,0,-0.76
"Gpr35",0.55,1.12,0.62,-1.56,0.07,-0.8
"Il12rb1",0.02,1.28,0.88,-1.44,-0.02,-0.71
"C3ar1",0.52,0.99,0.8,-1.66,-0.04,-0.6
"Siglec1",0.48,0.93,0.96,-1.63,-0.19,-0.56
"Plxnb2",0.43,1,0.94,-1.57,-0.15,-0.66
"Lpar1",0.39,1.22,0.81,-1.45,-0.25,-0.73
"S1pr2",0.33,1.21,0.71,-1.61,-0.08,-0.56
"Pkd2",0.17,1.34,0.81,-1.44,-0.63,-0.25
"Mertk",0.12,0.98,1.04,-1.67,-0.07,-0.4
"Nrp1",0.1,1.01,0.97,-1.7,0,-0.38
"Itgav",0.06,1.19,0.9,-1.61,-0.15,-0.39
"Plxna1",-0.1,1.11,0.94,-1.65,0.03,-0.34
"Lrp1",0.18,1.12,0.76,-1.7,0.13,-0.5
"Tlr4",0.14,1.09,0.72,-1.76,0.19,-0.37
"Lyve1",0.2,0.97,0.8,-1.83,0.03,-0.16
"Cd151",0.28,1.1,0.78,-1.73,-0.11,-0.32
"Gfra4",0.31,1.6,0.47,-0.76,-0.48,-1.15
"Tnfrsf21",0.43,1.47,0.37,-1.3,-0.06,-0.9
"Sdc4",0.7,1.33,0.12,-1.12,0.17,-1.2
"Clec7a",0.42,1.38,0.18,-1.35,0.34,-0.97
"Ccr1",0.61,1.16,0.36,-1.45,0.29,-0.97
"Tlr2",0.77,1.23,0.2,-1.4,0.13,-0.93
"Celsr3",0.75,0.86,0.87,-1.28,-0.06,-1.14
"Il1r2",0.81,1.07,0.66,-1.12,-0.19,-1.22
"Ltbr",0.62,1.13,0.57,-1.43,0.09,-0.99
"Fcgr2b",0.69,1.17,0.43,-1.46,0.07,-0.9
"Rrbp1",0.63,1.15,0.52,-1.5,0.05,-0.86
"Il4ra",0.74,1.17,0.53,-1.39,-0.11,-0.93
"Cd274",0.65,1.12,0.62,-1.45,-0.02,-0.92
"Itgb2",0.74,1.07,0.55,-1.49,0,-0.88
"Trem1",1.03,0.99,0.37,-1.4,-0.05,-0.93
"Tlr1",1.04,0.94,0.35,-1.42,0.03,-0.94
"Ptafr",0.88,1.04,0.48,-1.5,-0.09,-0.81
"Ccr5",0.96,1,0.47,-1.42,-0.11,-0.91
"Plaur",0.99,1,0.43,-1.4,-0.08,-0.93
"Sdc1",0.05,0.9,1.01,-1.78,-0.07,-0.11
"Ednrb",0.1,0.56,1.27,-1.74,-0.22,0.03
"Cd163",-0.04,0.74,1.27,-1.65,-0.35,0.03
"Eng",0.21,0.69,1.33,-1.57,-0.41,-0.25
"Dag1",0.16,0.79,1.32,-1.53,-0.45,-0.29
"Neo1",0.13,0.56,1.57,-1.27,-0.71,-0.28
"Notch1",0.05,0.77,1.47,-1.33,-0.58,-0.37
"Gpr37",1,0.09,1.3,-1.22,-0.35,-0.83
"Sdk1",1.03,0.42,1,-1.4,-0.88,-0.16
"Ackr3",1.25,0.52,0.62,-1.5,-0.71,-0.18
"Ramp3",1.37,0.37,0.66,-1.32,-0.88,-0.2
"Ryk",0.52,0.51,1.37,-1.42,-0.7,-0.27
"Adcyap1r1",0.97,0.2,1.23,-1.41,-0.63,-0.36
"Flt1",0.86,0.49,1.12,-1.52,-0.51,-0.45
"Ddr2",0.63,0.12,1.28,-1.65,-0.46,0.08
"Fat1",0.32,0.47,1.38,-1.62,-0.3,-0.25
"Unc5c",0.24,0.54,1.35,-1.64,-0.34,-0.15
"Nrcam",0.43,0.53,1.17,-1.74,-0.38,-0.01
"Epha3",0.43,0.47,1.32,-1.59,-0.58,-0.06
"Met",0.46,0.51,1.28,-1.64,-0.43,-0.18
"Pdgfrb",0.44,-0.29,1.63,-1.2,-0.76,0.18
"Plxnb1",0.63,0.42,1.36,-1.07,-1.19,-0.15
"Frzb",0.69,0.02,1.46,-1.25,-0.9,-0.02
"Sdc2",0.74,0.08,1.47,-1.14,-0.97,-0.18
"Mst1r",1.2,-0.21,1.14,-0.24,-1.38,-0.51
"Jmjd6",1.33,1.09,0.04,-0.68,-0.85,-0.92
"Ldlr",1.46,0.77,0.22,-0.46,-1.04,-0.96
"Cmklr1",0.78,0.97,0.67,-1.55,-0.1,-0.77
"Cysltr1",0.69,0.96,0.81,-1.49,-0.13,-0.84
"Itga5",0.68,1.06,0.82,-1.44,-0.44,-0.68
"Scarf1",0.91,0.94,0.77,-1.39,-0.5,-0.73
"Csf3r",0.92,0.65,0.91,-1.56,-0.28,-0.63
"Tnfrsf1a",0.96,0.79,0.74,-1.53,-0.22,-0.72
"Thbd",0.86,0.89,0.75,-1.57,-0.53,-0.39
"Ifnar2",0.9,0.86,0.65,-1.65,-0.31,-0.45
"Rtn4rl2",0.6,1.03,1.02,-1.23,-0.6,-0.82
"Esr1",1.08,0.71,0.85,-1.28,-0.74,-0.63
"Ltb4r1",1.36,0.83,0.17,-1.05,-0.16,-1.14
"Adora2b",1.3,0.71,0.35,-1.06,-0.04,-1.25
"Sphk1",1.26,0.83,0.23,-1.41,-0.09,-0.82
"Itgam",1.21,0.77,0.51,-1.37,-0.25,-0.86
"Acvrl1",1.09,0.95,0.47,-1.36,-0.3,-0.86
"S1pr3",1.43,0.4,0.55,-1.4,-0.31,-0.67
"Vdr",1.23,0.42,0.84,-1.42,-0.49,-0.58
"Fpr2",1.49,0.6,0.47,-0.93,-0.75,-0.88
"Tnfrsf12a",1.24,0.75,0.66,-1.09,-0.59,-0.97
"Ccr2",1.56,0.45,0.42,-1.01,-0.4,-1.02
"Fpr1",1.51,0.26,0.68,-1.11,-0.53,-0.81
"Cxcr4",1.5,0.24,0.73,-1.05,-0.59,-0.84
