"","MoDC_Tumor2","MoDC_Tumor1","MoDC_Tumor3","MoDC_LN2","MoDC_LN1","MoDC_LN3"
"Zhx2",-0.23,-1.45,-0.59,1.46,0.51,0.3
"Foxo1",-0.23,-1.5,-0.6,1.37,0.45,0.5
"Pbx1",-0.25,-1.37,-0.69,1.49,0.34,0.49
"Tcf4",-0.39,-1.4,-0.71,1.16,0.43,0.92
"Irf4",-0.43,-1.38,-0.64,1.31,0.3,0.84
"Ankzf1",-0.69,-1.27,-0.62,1.16,0.41,1
"Tgif2",-0.56,-1.26,-0.78,1.05,0.45,1.09
"Zbtb37",-0.24,-1.35,-0.9,0.98,0.42,1.08
"Zfp626",-0.65,-1.07,-0.93,1.17,0.54,0.94
"Zfp865",-0.42,-1.14,-1.04,1.16,0.56,0.88
"Lef1",-0.39,-1.11,-1.06,1.24,0.46,0.87
"Zfp831",-0.36,-1.26,-0.91,1.22,0.44,0.87
"Zfp398",-0.45,-1.24,-0.86,1.18,0.41,0.97
"Npas4",-0.37,-1.21,-0.97,1.13,0.42,1
"Stat5a",-0.15,-1.4,-0.71,1.46,0.22,0.59
"Sox4",-0.19,-1.32,-0.8,1.46,0.2,0.64
"Zbtb46",-0.2,-1.39,-0.84,1.28,0.41,0.73
"Zfp366",-0.06,-1.49,-0.73,1.24,0.21,0.82
"Stat4",-0.3,-1.38,-0.6,1.36,0.03,0.9
"Zfp780b",-0.21,-1.48,-0.6,1.32,0.17,0.8
"Rfx5",-0.27,-1.4,-0.7,1.31,0.22,0.84
"Zscan26",-0.25,-1.32,-0.77,1.17,0.07,1.1
"Myb",-0.24,-1.31,-0.81,1.21,0.08,1.06
"Akna",-0.35,-1.2,-0.87,1.4,0.18,0.84
"Arnt2",-0.45,-1.25,-0.72,1.4,0.16,0.86
"Homez",-0.88,-0.69,-0.87,1.5,0.07,0.86
"Dpf3",-0.86,-0.77,-0.87,1.54,0.29,0.67
"Zbtb14",-0.94,-0.69,-0.74,1.63,0.1,0.64
"Mbd4",-0.98,-0.72,-0.73,1.6,0.23,0.6
"Ahdc1",-0.88,-0.94,-0.44,1.68,0.01,0.58
"Zfp280d",-1.01,-0.84,-0.53,1.43,-0.01,0.97
"Pogk",-0.99,-0.85,-0.61,1.51,0.15,0.79
"Zkscan17",-0.6,-0.86,-0.71,1.82,0.04,0.3
"Naif1",-0.8,-0.8,-0.62,1.79,0.09,0.34
"Mecp2",-0.57,-0.81,-0.87,1.71,-0.04,0.59
"Zfp945",-0.61,-0.66,-0.81,1.73,-0.32,0.66
"Hmgn3",-0.16,-1.21,-0.81,1.57,0,0.62
"Mef2b",-0.18,-1.24,-0.73,1.57,-0.08,0.66
"Kdm2b",-0.31,-1.07,-0.81,1.61,-0.12,0.71
"St18",-0.25,-1.09,-0.79,1.66,-0.12,0.59
"Zgpat",-0.47,-1.11,-0.79,1.56,0.15,0.66
"Aebp2",-0.35,-1.08,-0.79,1.68,0.03,0.5
"Ikzf4",-0.19,-0.99,-0.65,1.79,-0.41,0.45
"Foxh1",-0.38,-0.93,-0.74,1.74,-0.28,0.59
"Etv3",-0.14,-1.2,-0.66,1.51,-0.35,0.84
"Zbed5",-0.26,-1.18,-0.57,1.47,-0.4,0.95
"Zfp872",0,-1.23,-0.88,1.44,-0.14,0.8
"Phf21a",-0.1,-1.21,-0.77,1.51,-0.2,0.77
"Zbtb10",-0.14,-1.3,-0.69,1.45,-0.16,0.84
"Phf1",-0.03,-1.2,-1.01,1.33,0.05,0.86
"Relb",-0.06,-1.26,-0.91,1.45,0.1,0.68
"Foxp4",-0.08,-1.29,-0.86,1.42,0.06,0.75
"Rxrb",-0.13,-1.15,-1.06,1.43,0.28,0.64
"Thap3",0.15,-1.21,-1.07,1.43,0.13,0.56
"Crebl2",-0.04,-1.22,-0.92,1.54,0.1,0.54
"Zkscan7",0.13,-1.05,-1.25,1.35,0.15,0.68
"Glis2",0.03,-1.33,-1.03,1.22,0.34,0.76
"Zfp296",0,-1.3,-0.97,1.37,0.26,0.64
"Zbtb24",-0.22,-0.9,-1.16,1.52,0.05,0.71
"Zfp217",-0.26,-1,-0.99,1.56,-0.02,0.72
"Zfp629",-0.16,-0.77,-1.11,1.65,-0.21,0.6
"Prdm8",-0.14,-0.95,-0.95,1.64,-0.25,0.65
"Batf3",-0.02,-0.89,-1.18,1.64,0.14,0.31
"Nfya",-0.24,-0.77,-1.17,1.66,0.06,0.46
"Cbx2",-0.41,-0.79,-1.05,1.71,0.18,0.36
"Nfil3",1.05,1.16,-0.1,-0.75,0.06,-1.41
"Zfp821",0.54,1.34,0.6,-0.83,-0.34,-1.32
"Cebpb",0.82,1.25,0.26,-1.26,-0.03,-1.04
"Rbpj",1.02,1.08,0.44,-1.22,-0.31,-1.01
"Arid5a",1.09,1.05,0.27,-1.1,-0.13,-1.19
"Klf15",-0.31,1.72,0.61,-0.94,-0.32,-0.77
"Cebpe",0.87,1,0.31,-1.7,0.03,-0.51
"Hmga1",0.51,1.23,0.47,-1.57,0.1,-0.73
"Zfp667",0.43,1.27,0.55,-1.36,0.13,-1.02
"Mxi1",0.49,1.29,0.53,-1.38,0.03,-0.95
"Tfap2a",0.38,1.35,0.73,-1.39,-0.59,-0.49
"Etv1",0.26,1.13,0.71,-1.72,0.05,-0.44
"Nfxl1",0.22,1.35,0.56,-1.56,0.05,-0.61
"Eea1",-0.15,1.33,0.96,-1.32,-0.1,-0.73
"Ski",0.16,1.27,0.89,-1.44,-0.22,-0.67
"Peg3",0.49,0.85,1.23,-1.26,-0.49,-0.83
"Zfp469",0.33,1.18,1.02,-1.27,-0.44,-0.82
"Zeb2",0.72,0.96,0.81,-1.56,-0.34,-0.6
"Batf2",0.79,0.87,0.83,-1.51,-0.21,-0.78
"Zfp703",0.8,0.94,0.72,-1.56,-0.2,-0.7
"Fosl2",0.71,1,0.77,-1.54,-0.26,-0.68
"Hif1a",0.75,1.01,0.71,-1.53,-0.23,-0.72
"Mbnl2",0.52,0.87,0.96,-1.67,-0.16,-0.51
"Creb5",0.5,0.96,0.8,-1.71,-0.02,-0.53
"Jdp2",0.58,0.92,0.79,-1.67,0.01,-0.62
"Maf",0.85,0.97,0.63,-1.49,-0.12,-0.84
"Ets2",0.78,1.05,0.62,-1.51,-0.16,-0.78
"Msantd3",0.65,0.94,0.75,-1.48,0.11,-0.96
"Atf6",0.82,0.77,0.84,-1.51,-0.06,-0.86
"Cebpa",0.58,0.98,0.95,-1.38,-0.23,-0.91
"Prdm16",0.6,1.02,0.85,-1.47,-0.16,-0.83
"Tcf7l2",0.65,0.94,0.87,-1.44,-0.11,-0.92
"Klf7",0.54,0.97,0.85,-1.51,0.02,-0.87
"Atf1",0.47,1.04,0.86,-1.53,-0.04,-0.79
"Pparg",0.45,1.12,0.76,-1.57,-0.05,-0.7
"Nfe2l2",0.57,1.07,0.74,-1.55,-0.07,-0.75
"Prdm5",0.88,0.73,0.9,-1.04,-1.33,-0.14
"Zfp503",0.65,0.47,1.14,-1.11,-1.34,0.19
"Lin54",0.02,1.08,1.14,-1.5,-0.44,-0.29
"Tead1",0.25,0.85,1.24,-1.54,-0.35,-0.45
"Zfp532",0.26,0.85,1.2,-1.56,-0.54,-0.2
"Tead4",0.34,0.59,1.47,-1.33,-0.66,-0.41
"Sox10",0.33,0.75,1.16,-1.67,-0.38,-0.2
"Mitf",0.3,0.62,1.23,-1.69,-0.4,-0.07
"Pax3",0.8,0.42,0.96,-1.77,-0.36,-0.06
"Zfp462",0.72,0.34,1.31,-1.51,-0.49,-0.37
"Sox11",0.56,0.38,1.34,-1.56,-0.48,-0.25
"Aebp1",0.7,0.39,1.19,-1.63,-0.53,-0.11
"Cpeb1",0.53,0.59,1.22,-1.6,-0.54,-0.21
"Plagl1",0.58,0.61,1.19,-1.58,-0.58,-0.23
"Foxr2",0.56,0.21,1.3,-1.63,-0.52,0.08
"Alx1",0.68,0.34,1.22,-1.53,-0.77,0.06
"Sox6",0.65,0.44,1.07,-1.67,-0.67,0.17
"Prrx1",0.53,0.43,1.36,-1.35,-0.91,-0.06
"Meis2",0.49,0.66,1.1,-1.6,-0.73,0.09
"Tbx2",0.33,0.62,1.28,-1.57,-0.62,-0.05
"Zic5",1.1,-0.38,1.36,-0.96,-0.21,-0.91
"Mafk",1.59,-0.15,0.83,-0.71,-0.94,-0.61
"Osr2",0.96,0.46,1.12,-1.28,-0.31,-0.94
"Cebpd",1.08,0.46,1.1,-0.95,-0.6,-1.08
"Hoxa10",0.62,0.22,1.53,-1.2,-0.39,-0.79
"Creb3l1",0.42,0.59,1.34,-1.1,-0.04,-1.21
"Kdm5b",1.35,0.54,0.74,-0.79,-0.95,-0.9
"Irf1",1.4,0.84,0.27,-0.81,-0.57,-1.13
"Kcmf1",1.24,0.85,0.53,-1,-0.53,-1.09
"Irf7",1.5,0.37,0.59,-1.18,-0.49,-0.8
"Ddit3",1.58,0.35,0.41,-1.28,-0.43,-0.63
"Tbx15",1.33,-0.02,0.82,-1.55,-0.3,-0.27
"Stat2",1.35,0.13,0.91,-1.24,-0.84,-0.31
"Mef2d",1.39,0.18,0.9,-1.16,-0.61,-0.71
"Arid5b",0.87,0.76,0.8,-1.65,-0.3,-0.47
"Crem",0.83,0.69,0.98,-1.56,-0.51,-0.42
"Mafb",0.89,0.76,0.87,-1.54,-0.34,-0.63
"Mafg",0.83,0.81,0.93,-1.48,-0.46,-0.62
"Klf3",1.18,0.66,0.59,-1.56,-0.36,-0.51
"Vdr",1.23,0.42,0.84,-1.42,-0.49,-0.58
"Smad3",1.12,0.38,0.92,-1.53,-0.33,-0.56
"Rlf",0.81,1.08,0.74,-1.33,-0.64,-0.66
"Zfp991",0.93,0.95,0.78,-1.21,-0.49,-0.96
"Hivep2",0.86,0.98,0.77,-1.35,-0.4,-0.85
"Arnt",0.78,0.96,0.88,-1.3,-0.41,-0.91
"Bach1",1.07,0.75,0.76,-1.36,-0.36,-0.85
"Stat1",1.11,0.79,0.65,-1.32,-0.31,-0.93
"Esr1",1.08,0.71,0.85,-1.28,-0.74,-0.63
"Tgif1",1.09,0.83,0.74,-1.26,-0.65,-0.75
"Gzf1",1.03,0.64,0.9,-1.43,-0.46,-0.68
"Klf10",1.04,0.55,1.01,-1.33,-0.6,-0.67
