"","T_PCD11_LMoDC_1","T_PCD11_LMoDC_2","T_PCD11_LMoDC_3","T_PCD11_LMoDC_4","T_PCD11_LCD11_1","T_PCD11_LCD11_2","T_PCD11_LCD11_3","T_PCD11_LCD11_4","T_PimedMoDC_1","T_PimedMoDC_2","T_PimedMoDC_3","T_PimedMoDC_4","T_PimedCD11c_1","T_PimedCD11c_2","T_PimedCD11c_3","T_PimedCD11c_4"
"Gm25744",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25755",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25756",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25758",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25759",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25760",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25761",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25762",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25763",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25764",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25766",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25767",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25768",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25769",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25770",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25771",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25776",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Gm25777",1,0,0,1,0,1,2,0,0,0,0,2,2,1,0,0
"Gm25781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25783",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25784",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25785",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25788",0,0,0,0,0,1,1,0,0,1,2,0,1,0,0,0
"Gm25789",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25790",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25791",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25792",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25793",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25794",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Gm25795",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25796",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25797",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25798",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25799",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25801",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25802",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25803",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25804",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25805",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25806",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm2581",1,0,0,0,1,1,1,2,1,3,1,3,1,1,0,1
"Gm25810",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Gm25811",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25812",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25813",0,0,0,0,1,1,0,0,0,1,0,0,1,0,2,0
"Gm25814",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25815",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25818",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25819",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm2582",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25820",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25821",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Gm25823",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25824",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25826",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25827",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25828",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25829",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25830",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25831",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25832",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25833",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25834",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25835",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Gm25836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25840",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25846",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25848",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25851",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25852",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25853",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25854",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25855",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25856",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25857",0,2,0,1,0,0,0,0,1,1,0,1,0,0,1,0
"Gm25860",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25861",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25862",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25863",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25866",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25867",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25868",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25869",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25870",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25873",3,1,1,0,0,3,1,4,8,13,15,17,6,5,2,6
"Gm25874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25875",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25877",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25878",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25879",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25881",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25884",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25886",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25887",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25890",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25891",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25894",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Gm25895",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25896",1,0,0,0,2,0,0,1,0,0,3,0,0,0,2,0
"Gm25897",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25898",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25899",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25903",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25904",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25906",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25909",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25910",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25913",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25915",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25916",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25917",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25919",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25921",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Gm25922",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25924",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25926",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Gm25929",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25930",0,0,0,0,0,1,0,1,1,1,4,2,0,3,1,0
"Gm25934",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25935",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25936",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25938",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25939",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm2594",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Gm25944",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25964",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25965",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25967",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25968",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25973",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25975",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25976",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25977",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25979",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25984",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25985",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25986",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25987",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25988",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25989",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm25999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26008",0,0,0,0,0,2,0,0,1,2,1,2,0,0,0,1
"Gm26011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26012",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Gm26013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26015",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Gm26016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm2602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26044",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26046",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26047",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26048",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Gm26049",2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Gm26054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26055",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26057",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm2606",6,3,10,0,3,4,0,2,0,1,0,1,1,0,0,0
"Gm26061",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Gm26062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26064",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26065",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26066",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm2607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26072",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26075",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26076",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26078",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26082",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26084",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26087",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26088",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26091",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26096",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26097",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26099",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm2611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26110",0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
"Gm26111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26127",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Gm26128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26129",5,3,1,1,5,9,2,3,12,17,21,19,9,7,6,16
"Gm26130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26132",2,0,1,0,1,2,0,0,1,1,1,1,0,1,0,0
"Gm26133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm2614",4,3,3,2,10,16,6,4,8,7,2,6,5,6,3,4
"Gm26143",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26162",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26165",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26168",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm2617",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26175",0,0,1,0,4,0,0,0,0,0,1,1,1,1,0,0
"Gm26176",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Gm26177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26178",0,0,0,0,2,3,3,1,2,1,1,0,0,1,0,0
"Gm26179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26183",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Gm26184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26187",0,0,0,3,1,0,0,0,1,4,5,6,4,2,2,1
"Gm26188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26189",1,2,0,0,0,0,1,1,1,3,2,3,2,0,0,0
"Gm2619",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Gm26203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26211",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm2622",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26224",0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
"Gm26225",0,0,0,1,0,1,0,0,0,0,0,3,1,1,0,0
"Gm26226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26227",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26228",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm2623",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Gm26230",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26236",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"Gm26239",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26243",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26244",0,0,1,1,1,4,1,1,2,11,5,10,3,2,4,1
"Gm26245",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26249",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26255",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26256",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Gm26257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26263",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Gm26264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26271",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26276",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26277",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26278",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm2628",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26283",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26284",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26285",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26286",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26288",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26289",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm2629",2,2,0,1,0,5,0,0,2,2,7,3,1,4,2,1
"Gm26291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26293",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26295",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26296",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26297",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26306",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26312",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26314",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26317",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26324",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Gm26325",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26326",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Gm26327",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26328",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26329",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26330",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm26331",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
