"","CD11c_6H_M2","CD11c_6H_M4","CD11c_6H_M1","CD11c_6H_M3","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3"
"Nrg2",0.3,0.94,1.56,0.65,-0.91,-1.01,-0.48,-1.05
"Itga4",0.78,0.46,1.27,1.08,-1.14,-0.61,-0.76,-1.08
"Selplg",1.07,0.93,1.09,0.51,-1.36,-0.7,-0.68,-0.87
"Icam5",0.85,1.06,1.25,0.45,-0.94,-0.58,-1.04,-1.05
"Cxcl11",0.8,1.05,1.09,0.54,-0.71,-1.61,-0.57,-0.59
"Tnfsf14",0.98,1.22,0.75,0.65,-0.83,-1.25,-0.5,-1.03
"Nectin1",0.95,0.95,1.11,0.66,-0.91,-1.23,-0.71,-0.82
"Cd2",1.01,0.76,0.97,0.85,-0.68,-1.54,-0.64,-0.73
"Csf3",1.09,0.86,0.71,0.99,-0.7,-1.35,-0.71,-0.88
"Pecam1",1.1,0.82,0.89,0.88,-0.7,-1.22,-0.83,-0.94
"Ltb",1.14,0.74,0.88,0.85,-0.58,-1.39,-0.76,-0.89
"Pglyrp1",1.03,1.12,0.63,0.85,-0.6,-1.32,-0.81,-0.9
"Il16",1.1,0.86,0.94,0.75,-0.53,-1.22,-0.88,-1.03
"Sell",0.9,0.92,0.88,1.01,-0.74,-1.17,-0.77,-1.03
"Cd24a",0.61,1.39,0.72,0.83,-0.52,-1.26,-1.04,-0.73
"Camp",0.68,1.4,0.71,0.75,-0.44,-1.31,-0.82,-0.96
"Spn",1.19,1.04,0.7,0.58,-0.27,-1.22,-0.85,-1.18
"Cd86",0.69,0.9,1.05,0.97,-0.46,-1.35,-0.8,-1
"Ccl22",0.82,0.88,0.97,0.78,-0.03,-1.38,-1.09,-0.95
"Sema7a",0.76,0.95,0.91,0.93,-0.2,-1.29,-1.04,-1.02
"Itga9",0.9,0.6,1,0.93,-0.47,-1.63,-0.36,-0.98
"Sema6d",0.84,0.5,1.19,0.89,-0.15,-1.46,-1,-0.82
"Tnfrsf11b",0.86,0.66,1.38,0.63,-0.55,-1.41,-0.78,-0.79
"Nmb",1.2,0.68,1.15,0.56,-0.55,-0.78,-1.03,-1.22
"Efnb3",1.32,0.76,0.89,0.7,-0.86,-0.93,-0.94,-0.95
"Jag2",1.3,0.98,0.68,0.7,-0.79,-0.93,-0.97,-0.98
"Adm",0.99,0.65,1.1,0.94,-0.89,-0.92,-1.2,-0.66
"Cd6",1.1,0.71,1.01,0.9,-0.97,-0.93,-0.97,-0.84
"Adam23",1.17,0.71,1.08,0.74,-0.94,-1.05,-0.85,-0.86
"Cxcl5",1.02,0.31,1.18,1.06,-0.56,-0.98,-0.95,-1.08
"Icam2",1.29,0.54,0.75,1.04,-0.64,-1.17,-0.98,-0.82
"Egf",1.17,0.53,0.88,1.03,-0.68,-1.25,-0.71,-0.99
"Npb",1.04,0.68,0.17,1.55,-0.74,-0.88,-0.91,-0.92
"Slit1",0.68,0.09,0.69,1.79,-0.89,-0.96,-0.41,-0.98
"Clcf1",0.96,0.61,0.82,0.93,-1.8,-0.31,-0.41,-0.8
"Yars",1.1,1.17,0.35,0.81,-1.45,-0.33,-0.7,-0.96
"Vcam1",0.4,0.73,1.05,1.02,-1.85,-0.75,-0.23,-0.37
"Btla",0.67,0.54,1.11,1.2,-1.09,-1.24,-0.88,-0.3
"Ptprm",0.38,0.91,1.14,1.13,-1.11,-1.21,-0.62,-0.63
"Mpz",-0.67,-0.81,-1.02,-0.69,0.03,1.52,1.42,0.22
"Icam1",-0.82,-0.77,-0.42,-0.42,-1.09,1.16,1.39,0.97
"Itgal",-1.55,-0.72,-0.47,0.14,-0.39,1.65,0.86,0.48
"Fbn1",-1.32,-0.26,-0.87,-0.78,-0.07,1.39,0.78,1.13
"Gdf3",-0.91,-0.77,-1.04,-0.61,-0.17,1.12,1.12,1.26
"Il27",-1.16,-0.87,-0.8,-0.54,-0.02,1.16,1.35,0.89
"Edn1",-1.43,-0.83,-0.96,0,0.16,0.75,1.39,0.92
"Nenf",-1.23,-0.78,-1.05,-0.49,0.32,1.15,1.05,1.01
"Hdgf",-1.37,-1.01,-0.77,-0.26,0.27,1.27,0.95,0.92
"Tnfsf10",-1.72,-0.32,-0.78,-0.46,0.27,0.81,1.08,1.1
"Nlgn2",-1.71,-0.25,-0.9,-0.45,0.47,1.08,0.98,0.8
"Cd274",-1.45,-0.64,-0.95,-0.57,0.89,0.84,1,0.88
"Ptdss1",-1.48,-0.24,-1,-0.78,0.73,0.75,1.09,0.93
"H2-M3",-1.77,-1,-0.38,0.03,0.32,0.8,1,1
"Cmtm6",-2.1,-0.38,-0.32,-0.05,0.33,0.55,1.08,0.89
"Il15",-1.52,-0.68,-0.62,-0.54,0.12,0.94,1.22,1.07
"Cd200",-1.61,-0.51,-0.48,-0.57,-0.03,0.71,1.25,1.23
"Hgf",-1.55,-0.24,-0.3,-1.02,0.14,0.63,1.53,0.81
"Tnfsf4",-1.69,-0.41,-0.21,-1,0.49,0.83,0.97,1.03
"Nectin2",-1.68,-0.53,-1.07,0.38,0.87,0.45,1.23,0.34
"Nts",-1.17,-0.19,-1.58,-0.22,1.31,0.7,0.86,0.29
"Pf4",-1.16,-1.07,-0.95,-0.03,1.58,0.71,0.75,0.17
"Flrt2",-0.48,-1.07,-1.06,-1.06,0.79,0.97,0.99,0.92
"Plxnb2",-0.65,-1.19,-0.87,-0.91,0.67,1.28,1.04,0.64
"Gas6",-0.36,-1.36,-0.96,-0.72,0.12,1.11,1.1,1.07
"Apoe",-0.68,-0.99,-0.7,-1.11,0.12,1.15,1.13,1.09
"Npy",-0.88,-1.24,-0.72,-0.78,0.41,1.05,1.07,1.09
"Col5a3",-0.6,-1.07,-0.95,-0.99,0.43,1.04,0.89,1.24
"Mag",-0.87,-0.69,-1.02,-0.9,0.26,0.59,1.18,1.45
"Plekho2",-1.03,-0.86,-0.88,-0.92,0.57,0.97,1.16,0.99
"Sema4d",-0.98,-0.86,-0.86,-0.91,0.31,1.14,1.14,1.02
"Nptn",-1.1,-0.7,-0.96,-0.86,0.39,1.03,1.08,1.12
"Rtn4",-1.25,-0.75,-0.71,-0.88,0.38,1,1.19,1.02
"Crlf2",-1.28,-0.88,-0.8,-0.66,0.48,1.11,0.99,1.04
"Pcdh7",-0.82,-1.03,-0.66,-1.17,0.7,1.04,0.95,1
"Lgals3",-0.84,-1.08,-0.67,-1.11,0.79,1.05,0.87,0.98
"Artn",-0.87,-0.77,-0.83,-1.2,0.71,1.1,0.76,1.11
"Pik3cb",-0.98,-0.8,-0.75,-1.14,0.59,1.16,1.03,0.89
"Igf1",-1.22,-0.9,-0.72,-0.86,0.72,1.01,0.97,0.98
"Cxcl14",-0.98,-0.95,-0.77,-1,0.64,1.04,0.94,1.08
"Trf",-1.06,-0.82,-0.77,-1.06,0.8,1.01,0.95,0.97
"Inhba",-1.07,-0.95,-0.84,-0.87,0.95,0.87,0.95,0.96
"Cxcl16",-1.07,-0.98,-0.84,-0.82,0.79,0.91,1.11,0.91
"Psen1",-1.03,-0.97,-0.87,-0.84,0.73,0.88,1.08,1.03
"Alcam",-0.89,-1.12,-0.68,-1.01,0.84,0.81,1.07,0.98
"Itgb2",-0.91,-0.96,-0.87,-0.99,0.82,1,0.95,0.96
"Adam17",-0.93,-0.96,-0.92,-0.93,0.86,0.93,0.98,0.98
"Lrpap1",-0.83,-1.09,-0.84,-0.96,0.79,1.02,0.96,0.95
"App",-0.88,-1.03,-0.81,-1.01,0.93,1,0.93,0.88
"Csf1",-1.4,-0.7,-1.12,-0.27,0.77,0.75,0.77,1.2
"Tnc",-0.95,-1.04,-1.19,-0.45,0.75,0.92,0.84,1.13
"Grn",-1.12,-0.88,-1.1,-0.58,0.95,1.02,0.83,0.89
"Mmp13",-1.21,-1.18,-0.49,-0.63,1.3,0.41,0.8,1
"Hbegf",-1.41,-1.02,-0.74,-0.3,0.89,0.39,1.09,1.09
"Gmfb",-1.62,-1.02,-0.45,-0.31,1.07,0.53,0.81,0.98
"Gpnmb",-1.07,-1.11,-0.26,-1.14,0.67,0.95,0.98,0.97
"Tnfsf12",-1.13,-1.13,-0.46,-0.93,0.83,0.89,0.91,1.02
"Adam9",-1.21,-1.19,-0.4,-0.8,1.04,0.71,0.95,0.91
"Pros1",-0.63,-1.27,-0.63,-1.04,1.2,0.44,0.88,1.05
"Itgb1",-0.67,-1.11,-0.53,-1.32,0.89,0.77,1,0.96
"Rabep1",-0.66,-1.41,-0.52,-1.01,0.74,0.84,0.93,1.08
"Dusp18",-0.9,-0.68,-1.05,-0.93,0.96,1.23,1.14,0.23
"Itgam",-1.22,-0.78,-0.86,-0.84,1.12,0.89,0.88,0.81
"Spp1",-1.02,-0.99,-0.71,-0.99,1.12,0.83,0.87,0.89
"Psap",-1,-0.98,-0.8,-0.95,1.03,0.87,0.94,0.89
"Jag1",-1.08,-1.09,-0.66,-0.86,0.84,1.09,0.98,0.78
"Ccl5",-1.29,-0.97,-0.78,-0.62,0.94,0.95,1.04,0.73
"Adam15",-0.79,-0.83,-1.05,-1.05,1.01,0.87,0.91,0.94
"Vwf",-0.8,-0.85,-1.25,-0.78,1.16,0.9,0.74,0.88
"Penk",-1.05,-0.74,-0.86,-0.97,1.19,1.23,0.6,0.6
"F7",-0.89,-1.07,-0.97,-0.72,1.36,0.87,0.68,0.74
"Thbs4",-0.98,-0.77,-0.93,-0.99,1.33,0.75,0.91,0.68
"Cck",-0.86,-0.99,-0.89,-0.88,1.48,0.78,0.73,0.63
"Arf1",-0.81,-1.01,-0.79,-1.03,1.4,0.81,0.75,0.69
"Cd320",-0.04,-0.88,-0.49,-1.41,-0.47,1.21,0.75,1.32
"Ceacam1",0.07,0.5,-0.77,-2.05,1.27,0.22,0.39,0.35
"Calm1",-1.43,0.31,-1.02,-0.97,1.06,1.14,0.53,0.39
"Alox5ap",-0.71,-0.59,-0.96,-1.36,1.16,0.8,0.82,0.85
"Calm2",-0.95,0.03,-0.81,-1.59,0.91,0.5,1.04,0.87
"Jam2",-0.26,-0.67,-0.1,-0.91,1.14,-1.02,0,1.82
"Tfpi",-0.36,-1.48,-0.45,-0.79,1.58,1.01,-0.06,0.55
"Serpine1",-0.52,-1.38,-0.85,-0.76,1.46,0.69,0.72,0.63
"Flrt3",-0.7,-1.4,-0.39,-0.78,1.67,0.34,0.41,0.85
"Copa",-0.88,-1.57,-0.13,-0.69,1.45,0.45,0.69,0.69
"Nppc",-0.36,-0.5,-1.14,-0.96,1.88,0.91,0.09,0.08
"Hsp90b1",-0.84,-0.41,-0.88,-0.32,2.29,0,0.01,0.14
"C3",-1,-0.35,-0.97,-0.83,1.89,0.51,0.65,0.11
"Calr",-0.93,-0.4,-0.9,-1.01,1.88,0.57,0.42,0.37
"Anxa1",-1,-0.9,-0.74,-0.68,1.83,0.32,0.49,0.68
"Timp1",-0.77,-0.99,-0.88,-0.73,1.82,0.41,0.58,0.56
"Fn1",-1.17,-0.85,-0.79,-0.48,1.83,0.51,0.49,0.46
"Il1rn",-1.12,-0.82,-0.79,-0.42,1.92,0.21,0.61,0.41
